"sampleID","pop","Clust1.Tess","Clust2.Tess","GenClust.Tess","Prop.Tess","Clust1.LEA","Clust2.LEA","GenClust.LEA","Prop.LEA","Clust1.DAPC","Clust2.DAPC","GenClust.DAPC","Prop.DAPC"
"Dh_11.285","1.NEPilb",0.836500936668285,0.163499063331715,"Cluster2","Assigned",0.96531,0.0346897,"Cluster1","Assigned",1,1.34567466683939e-17,"Cluster1","Assigned"
"Dh_11.292","1.NEPilb",0.835750615907019,0.164249384092981,"Cluster2","Assigned",0.9926,0.00739965,"Cluster1","Assigned",1,6.59329676422549e-20,"Cluster1","Assigned"
"Dh_11.307","1.NEPilb",0.836249340464759,0.163750659535242,"Cluster2","Assigned",0.99879,0.00120974,"Cluster1","Assigned",1,1.83610328822629e-19,"Cluster1","Assigned"
"Dh_11.309","1.NEPilb",0.835494524175837,0.164505475824163,"Cluster2","Assigned",0.934759,0.0652414,"Cluster1","Assigned",1,8.22347730085875e-20,"Cluster1","Assigned"
"Dh_11.310","1.NEPilb",0.833420274372003,0.166579725627997,"Cluster2","Assigned",0.933505,0.0664947,"Cluster1","Assigned",0.999999999999996,4.32445479814678e-15,"Cluster1","Assigned"
"Dh_11.335","1.NEPilb",0.836292904670524,0.163707095329476,"Cluster2","Assigned",0.94387,0.0561304,"Cluster1","Assigned",0.999999999999999,7.33605308412329e-16,"Cluster1","Assigned"
"Dh_11.337","1.NEPilb",0.834820101359485,0.165179898640515,"Cluster2","Assigned",0.918953,0.0810469,"Cluster1","Assigned",1,1.65266407666947e-19,"Cluster1","Assigned"
"Dh_11.338","1.NEPilb",0.836011671212322,0.163988328787678,"Cluster2","Assigned",0.9999,1e-04,"Cluster1","Assigned",1,1.15736738615962e-19,"Cluster1","Assigned"
"Dh_11.401","1.NEPilb",0.824717927028819,0.175282072971181,"Cluster2","Assigned",0.919307,0.0806933,"Cluster1","Assigned",1,1.71757834425707e-17,"Cluster1","Assigned"
"Dh_11.402","1.NEPilb",0.825784106045317,0.174215893954683,"Cluster2","Assigned",0.90206,0.0979399,"Cluster1","Assigned",1,1.93596031557981e-16,"Cluster1","Assigned"
"Dh_11.404","1.NEPilb",0.682444249934227,0.317555750065773,"Cluster2","Admixed",0.747087,0.252913,"Cluster1","Assigned",0.999999999999976,2.43412116515627e-14,"Cluster1","Assigned"
"Dh_11.405","1.NEPilb",0.825268255618664,0.174731744381336,"Cluster2","Assigned",0.900203,0.0997966,"Cluster1","Assigned",1,5.61815239637144e-20,"Cluster1","Assigned"
"Dh_12.066","1.NEPilb",0.704157796945963,0.295842203054037,"Cluster2","Assigned",0.611559,0.388441,"Cluster1","Admixed",0.999999999999839,1.6085590415709e-13,"Cluster1","Assigned"
"Dh_12.071","1.NEPilb",0.825320415368271,0.174679584631729,"Cluster2","Assigned",0.877502,0.122498,"Cluster1","Assigned",0.999999999999157,8.4313155777731e-13,"Cluster1","Assigned"
"Dh_12.079","1.NEPilb",0.828154413841679,0.171845586158321,"Cluster2","Assigned",0.919211,0.0807885,"Cluster1","Assigned",0.999999999999531,4.68490013758505e-13,"Cluster1","Assigned"
"Dh_12.082","1.NEPilb",0.828841108907499,0.171158891092501,"Cluster2","Assigned",0.962882,0.0371175,"Cluster1","Assigned",1,1.68319390905208e-22,"Cluster1","Assigned"
"Dh_12.084","1.NEPilb",0.82876891860534,0.17123108139466,"Cluster2","Assigned",0.984556,0.0154441,"Cluster1","Assigned",1,7.94877952486807e-17,"Cluster1","Assigned"
"Dh_12.325","1.NEPilb",0.830446660789269,0.169553339210731,"Cluster2","Assigned",0.9999,1e-04,"Cluster1","Assigned",1,8.69603687708017e-20,"Cluster1","Assigned"
"Dh_12.331","1.NEPilb",0.797146563902634,0.202853436097366,"Cluster2","Assigned",0.762332,0.237668,"Cluster1","Assigned",0.999999999999941,5.92695768316322e-14,"Cluster1","Assigned"
"Dh_12.339","1.NEPilb",0.814380922803951,0.185619077196049,"Cluster2","Assigned",0.966095,0.0339049,"Cluster1","Assigned",1,4.02792828741791e-21,"Cluster1","Assigned"
"Dh_12.385","1.NEPilb",0.863063526139097,0.136936473860903,"Cluster2","Assigned",0.9999,1e-04,"Cluster1","Assigned",1,2.9626133138071e-18,"Cluster1","Assigned"
"Dh_12.387","1.NEPilb",0.861661569987219,0.138338430012781,"Cluster2","Assigned",0.947773,0.0522274,"Cluster1","Assigned",1,9.01450456761841e-17,"Cluster1","Assigned"
"Dh_12.390","1.NEPilb",0.864016462322161,0.135983537677839,"Cluster2","Assigned",0.974675,0.0253246,"Cluster1","Assigned",0.999999999999985,1.51271860771143e-14,"Cluster1","Assigned"
"Dh_12.391","1.NEPilb",0.86471663903586,0.13528336096414,"Cluster2","Assigned",0.988722,0.0112784,"Cluster1","Assigned",1,7.84254835658229e-19,"Cluster1","Assigned"
"Dh_12.393","1.NEPilb",0.864100808917734,0.135899191082266,"Cluster2","Assigned",0.9999,1e-04,"Cluster1","Assigned",1,1.03905601849401e-17,"Cluster1","Assigned"
"Dh_12.394","1.NEPilb",0.875496265145921,0.124503734854079,"Cluster2","Assigned",0.9999,1e-04,"Cluster1","Assigned",1,5.61839691598614e-20,"Cluster1","Assigned"
"Dh_12.395","1.NEPilb",0.868542282629194,0.131457717370807,"Cluster2","Assigned",0.912883,0.0871166,"Cluster1","Assigned",0.999999999999996,3.45506955791848e-15,"Cluster1","Assigned"
"Dh_12.396","1.NEPilb",0.865650599759562,0.134349400240438,"Cluster2","Assigned",0.950869,0.0491315,"Cluster1","Assigned",1,1.5189444247282e-16,"Cluster1","Assigned"
"Dh_12.397","1.NEPilb",0.871932762555857,0.128067237444143,"Cluster2","Assigned",0.981441,0.0185591,"Cluster1","Assigned",1,4.56133557189089e-18,"Cluster1","Assigned"
"Dh_12.399","1.NEPilb",0.868027131954439,0.131972868045561,"Cluster2","Assigned",0.921452,0.0785485,"Cluster1","Assigned",1,1.41803082114152e-16,"Cluster1","Assigned"
"Dh_12.400","1.NEPilb",0.871118402482809,0.128881597517191,"Cluster2","Assigned",0.969433,0.030567,"Cluster1","Assigned",0.999999999999812,1.87723887338779e-13,"Cluster1","Assigned"
"Dh_12.401","1.NEPilb",0.866429430660252,0.133570569339748,"Cluster2","Assigned",0.976517,0.0234832,"Cluster1","Assigned",0.99999999999954,4.5998735700755e-13,"Cluster1","Assigned"
"Dh_12.402","1.NEPilb",0.871291770541025,0.128708229458975,"Cluster2","Assigned",0.9999,1e-04,"Cluster1","Assigned",1,5.68367323847975e-20,"Cluster1","Assigned"
"Dh_12.403","1.NEPilb",0.795292489439038,0.204707510560962,"Cluster2","Assigned",0.968003,0.031997,"Cluster1","Assigned",1,1.335567250004e-16,"Cluster1","Assigned"
"Dh_12.404","1.NEPilb",0.797798970790834,0.202201029209165,"Cluster2","Assigned",0.984355,0.0156451,"Cluster1","Assigned",0.999999999999955,4.50763999008977e-14,"Cluster1","Assigned"
"Dh_12.406","1.NEPilb",0.7944233893627,0.2055766106373,"Cluster2","Assigned",0.916465,0.0835349,"Cluster1","Assigned",0.999999999999233,7.67178009770562e-13,"Cluster1","Assigned"
"Dh_12.407","1.NEPilb",0.794734756092269,0.205265243907731,"Cluster2","Assigned",0.919848,0.0801518,"Cluster1","Assigned",1,2.265823367332e-17,"Cluster1","Assigned"
"Dh_12.410","1.NEPilb",0.79054868380777,0.20945131619223,"Cluster2","Assigned",0.860558,0.139442,"Cluster1","Assigned",0.999999999999981,1.85668186989909e-14,"Cluster1","Assigned"
"Dh_14.001","5.DI",0.560307921349092,0.439692078650908,"Cluster2","Admixed",0.523892,0.476108,"Cluster1","Admixed",1,1.09145550078935e-17,"Cluster1","Assigned"
"Dh_16.075","1.NEPilb",0.838512560760496,0.161487439239504,"Cluster2","Assigned",0.932127,0.0678731,"Cluster1","Assigned",1,6.07164948803584e-23,"Cluster1","Assigned"
"Dh_16.080","1.NEPilb",0.837024829271428,0.162975170728572,"Cluster2","Assigned",0.850231,0.149769,"Cluster1","Assigned",0.999999999999998,2.44322505774854e-15,"Cluster1","Assigned"
"Dh_16.084","1.NEPilb",0.837302204855671,0.162697795144329,"Cluster2","Assigned",0.998562,0.00143792,"Cluster1","Assigned",1,1.7463821714026e-21,"Cluster1","Assigned"
"Dh_16.087","1.NEPilb",0.831303969783848,0.168696030216152,"Cluster2","Assigned",0.806247,0.193753,"Cluster1","Assigned",0.999999999880097,1.19902621630052e-10,"Cluster1","Assigned"
"Dh_16.088","2.CentChich",0.598431040578971,0.401568959421029,"Cluster2","Admixed",0.62079,0.37921,"Cluster1","Admixed",0.99999999999507,4.93033859822169e-12,"Cluster1","Assigned"
