"Buffer_15km","PHt","UTMX","UTMY","n","PHt.HotCold"
"B15.00",0.154524369984688,483996.626978847,7734295.35585207,14,-3.53903881923598
"B15.01",0.196733520290693,707207.398791544,7505336.89940738,2,-1.65396453109029
"B15.02",0.250738255033557,1041751.04719656,7506157.57520727,1,0.75790436851696
"B15.03",0.214787582664341,660811.627623671,7513431.24798484,3,-0.847664273198091
"B15.04",0.243800622164143,730780.54579501,7554753.35937468,3,0.448067443397271
"B15.05",0.233396074213498,352352.132862715,7567695.7422415,1,-0.016603029221764
"B15.06",0.243408780531715,439801.899817082,7554462.99815774,13,0.430567669510333
"B15.07",0.227626981994088,590515.913185794,7555966.46296882,1,-0.274252551420366
"B15.08",0.241120817396488,681966.390811155,7562850.07912827,4,0.328386496774723
"B15.09",0.243246464357205,412493.592501973,7590793.81136819,31,0.423318576721204
"B15.10",0.237982279120383,591828.91697553,7605797.92872864,11,0.188218363472951
"B15.11",0.242981311351839,820900.482694476,7607897.11816929,4,0.411476757845029
"B15.12",0.247567706204738,715201.306432414,7651192.68457909,37,0.616306633590122
"B15.13",0.253627082213864,860563.212572024,7634983.57994057,1,0.886920323612326
"B15.14",0.253694989741807,524903.722211209,7640999.88188424,3,0.889953095747503
"B15.15",0.243865878014991,671064.171513625,7683067.08490926,20,0.450981790776773
"B15.16",0.233467620496831,420198.307906697,7661549.19065935,11,-0.0134077490954212
"B15.17",0.234315330060011,599003.456849704,7657301.03854256,1,0.0244512338450465
"B15.18",0.23610639398596,830319.124471177,7715541.7460056,28,0.1044407273732
"B15.19",0.230213645660138,491243.051807624,7707618.08944369,2,-0.158731316484283
"B15.20",0.245918863563089,693478.811523018,7738603.72043743,28,0.542668788562751
