"sampleid","PHt","Hs_obs","Hs_exp","IR","HL","pop","Buffer_15km","PHt.HotCold"
"Dh_11.285",0.24328678839957,"1.03038364668742","0.923039921636424","0.0779700225461425","0.676670168329178","Poondano","B15.20",0.261594671009105
"Dh_11.292",0.252416756176155,"1.06900715136046","0.95776553761408","0.0338323744318984","0.656721105320928","Poondano","B15.20",0.595880398709506
"Dh_11.307",0.251814028486966,"1.06612870935216","0.955161008825762","0.0295959696715118","0.657164529030049","Poondano","B15.20",0.573812055302812
"Dh_11.309",0.238633306429917,"1.01023631197566","0.905464509209835","0.0840824863986441","0.681474347934048","Poondano","B15.20",0.0912115278664024
"Dh_11.310",0.235610543302851,"0.997001265791779","0.893237426518781","0.089578226804573","0.680728105548748","Poondano","B15.20",-0.0194642813285298
"Dh_11.335",0.250738255033557,"1.06193057150756","0.951431905424745","0.0505907142397213","0.665874799165389","Poondano","B15.20",0.534423557937479
"Dh_11.337",0.251676951972095,"1.06591410822777","0.954564772281216","0.0343104812484444","0.664358185992115","Poondano","B15.20",0.56879311945927
"Dh_11.338",0.236114837671049,"0.999715613475794","0.89544431533187","0.0971304645414138","0.684502611033841","Poondano","B15.20",-0.000999987261619688
"Dh_11.401",0.250067078078884,"1.05864438443313","0.94823356150017","0.0476642484758683","0.656885360901865","Abydos Turner Yandee","B15.12",0.509849004970927
"Dh_11.402",0.229301075268817,"0.971714874327715","0.870220633086713","0.109402347799476","0.68889608601282","Abydos Turner Yandee","B15.12",-0.250479895487509
"Dh_11.404",0.250335390394419,"1.06050222180107","0.94993413778449","0.0432074127579368","0.663647323745074","Turner River","B15.12",0.519673024052311
"Dh_11.405",0.240999462654487,"1.02023631718049","0.91402764913883","0.0821214662264259","0.676750004528512","Abydos Turner Yandee","B15.12",0.177846253720722
"Dh_12.066",0.246714936980424,"1.04351214217245","0.934249188739616","0.0778046988318577","0.673382026592938","Tom Price East","B15.08",0.38711331149707
"Dh_12.071",0.247311827956989,"1.04595230945283","0.936934482466444","0.061743231914387","0.669206006839129","Abydos Turner Yandee","B15.12",0.408967948812501
"Dh_12.072",0.251477700161204,"1.06426406791344","0.953872519596613","0.0579027006365193","0.666628489017529","Abydos Turner Yandee","B15.12",0.561497689921158
"Dh_12.073",0.247851772287863,"1.04903849745337","0.939651394771754","0.0547558446145971","0.666076031932977","Abydos Turner Yandee","B15.12",0.428737534859324
"Dh_12.074",0.234710300429185,"0.993194043881647","0.889476100143275","0.100500228478402","0.68070098468008","Abydos Turner Yandee","B15.12",-0.0524258811385897
"Dh_12.075",0.245161290322581,"1.03777921065974","0.929668676677377","0.0572640685462305","0.667598585490507","Abydos Turner Yandee","B15.12",0.330227907702073
"Dh_12.076",0.250536480686695,"1.06084026409678","0.950151443279245","0.0517497028177788","0.663567337559263","Abydos Turner Yandee","B15.12",0.527035767966847
"Dh_12.078",0.235388739946381,"0.996002994943829","0.89173449370215","0.101215929523579","0.687820021357899","Abydos Turner Yandee","B15.12",-0.027585415842731
"Dh_12.079",0.253483386923901,"1.07292968799086","0.960768065301546","0.0413797248646695","0.661790480592575","Abydos Turner Yandee","B15.12",0.634934143960649
"Dh_12.080",0.246906939214632,"1.04439424868229","0.935244249497853","0.073497691760648","0.668829231565159","Abydos Turner Yandee","B15.12",0.394143304170969
"Dh_12.082",0.2494640943194,"1.05577706305656","0.945214293561828","0.0489072981013145","0.667950902704421","Abydos Turner Yandee","B15.12",0.487771285775949
"Dh_12.084",0.244098712446352,"1.033419515278","0.925601835141191","0.0706231204907426","0.675398836866414","Abydos Turner Yandee","B15.12",0.291322554771418
"Dh_12.325",0.252750201234237,"1.06991105877807","0.958466973281482","0.0430730651623989","0.659432997462388","Abydos Turner Yandee","B15.12",0.608089195784883
"Dh_12.331",0.23887399463807,"1.01092772230781","0.905147479104231","0.0798922803955384","0.675973039608441","McPhee Creek Mine","B15.11",0.100024114589619
"Dh_12.339",0.252148227712137,"1.06691562270211","0.955546323687369","0.0449466625618267","0.662088888850203","McPhee Creek Mine","B15.11",0.586048465541819
"Dh_12.385",0.236559139784946,"1.00227895402541","0.897752574147593","0.084067751407951","0.679036149388612","Callawa","B15.18",0.0152677432602555
"Dh_12.387",0.23341391351061,"0.988199996237434","0.885697649152239","0.103575080911381","0.678613833732573","Callawa","B15.18",-0.0998919461961843
"Dh_12.390",0.236084969077709,"0.998843881358942","0.895348058470847","0.0976209171039323","0.683512578708102","Callawa","B15.18",-0.00209359949600768
"Dh_12.391",0.226283257188928,"0.958237568523858","0.858594604333375","0.132616419448015","0.699814978967011","Callawa","B15.18",-0.360974646136066
"Dh_12.393",0.240343347639485,"1.01756468826155","0.911213918876076","0.0755108890759339","0.677845849335633","Callawa","B15.18",0.153823180407407
"Dh_12.394",0.244700831768178,"1.03541791535467","0.92742906105314","0.0596814433835819","0.668841441261987","Cattle Nimingarra Shay","B15.18",0.313368623343016
"Dh_12.395",0.230976068835709,"0.978100513641458","0.876513368511331","0.124418549871025","0.690904432295235","Cattle Nimingarra Shay","B15.18",-0.18915148151019
"Dh_12.396",0.242221030042918,"1.02535115686402","0.918265650141086","0.0688834631426775","0.670751512909636","Nimingarra","B15.18",0.222572867589394
"Dh_12.397",0.248387096774194,"1.05100625274713","0.941578319397939","0.0609171897134957","0.668277656298246","Nimingarra","B15.18",0.44833796936775
"Dh_12.399",0.24510067114094,"1.03736631603416","0.929151217281087","0.0665845077011416","0.667059064146941","Nimingarra","B15.18",0.328008389764734
"Dh_12.400",0.24388933655654,"1.03307864663823","0.925562935718822","0.0702632974044801","0.676817274457807","Nimingarra","B15.18",0.283656441001747
"Dh_12.401",0.235704697986577,"0.997620519577561","0.893329500607399","0.0911393639667788","0.684163597021169","Nimingarra","B15.18",-0.0160168905232227
"Dh_12.402",0.233700026831232,"0.988812372896041","0.885522440065489","0.109576363432303","0.691478738819555","Nimingarra","B15.18",-0.0894161589941532
"Dh_12.403",0.222192369693713,"0.939601906609792","0.841685425567386","0.144877704168408","0.700274867756428","Quarry Site 2a","B15.15",-0.510758888177491
"Dh_12.404",0.247716281569049,"1.04921655464048","0.940510241196331","0.0588606786928842","0.671511241016379","Quarry Site 2a","B15.15",0.423776661541508
"Dh_12.406",0.251742627345845,"1.06589213556632","0.95456567527619","0.0396193514961791","0.661940931197538","Quarry Site 2a","B15.15",0.571197765416765
"Dh_12.407",0.244886975242196,"1.03515597601694","0.927227131044998","0.0671948532436174","0.667457149385643","Quarry Site 2a","B15.15",0.320184102673443
"Dh_12.410",0.259983918520504,"1.10028794786005","0.985276127554196","0.0135923371915217","0.644317349389564","Quarry Site 2a","B15.15",0.872945382158326
"Dh_14.001",0.150673854447439,"0.637436637878043","0.571100783452639","0.437521792490438","0.802592066663217","Dolphin Island","B15.00",-3.12934632442969
"Dh_14.002",0.144626986264476,"0.612792808167079","0.549138341247743","0.456707962020734","0.806987391825399","Dolphin Island","B15.00",-3.35074707636162
"Dh_14.003",0.147819063004847,"0.625827666360626","0.560566721615507","0.444431512096952","0.808649122628105","Dolphin Island","B15.00",-3.23387199836112
"Dh_14.004",0.169714900484131,"0.71847078512612","0.643602716856995","0.375008341973032","0.768497336114124","Dolphin Island","B15.00",-2.43217519674218
"Dh_14.005",0.14379645511721,"0.606695730340027","0.543971904229991","0.462556301376767","0.807703731752204","Dolphin Island","B15.00",-3.38115624271746
"Dh_14.006",0.166397415185784,"0.704860770459874","0.631406622857196","0.373838513794085","0.778679236062276","Dolphin Island","B15.00",-2.55364199862263
"Dh_14.007",0.166801401239558,"0.706265378717868","0.632736038454106","0.378175851049467","0.781101333926786","Dolphin Island","B15.00",-2.5388504051284
"Dh_14.009",0.167563206024744,"0.709442174965482","0.635486358232513","0.377225090025587","0.780960056642301","Dolphin Island","B15.00",-2.51095759398018
"Dh_14.010",0.160247778077027,"0.678126451683676","0.607555893094482","0.396691185750674","0.787304033222527","Dolphin Island","B15.00",-2.77880554424504
"Dh_14.011",0.136155297923969,"0.576635186608188","0.516510740324004","0.493355524571116","0.818813219868483","Dolphin Island","B15.00",-3.66093048237761
"Dh_14.012",0.161507402422611,"0.684203969060052","0.612802520970645","0.402128967939879","0.784002018196223","Dolphin Island","B15.00",-2.73268550841396
"Dh_14.013",0.151629410180447,"0.641398680179469","0.574526197004384","0.436921618827684","0.803104377129958","Dolphin Island","B15.00",-3.09435949299902
"Dh_16.075",0.253627082213864,"1.07450391260656","0.962120497196687","0.0418221830341099","0.661580237675088","Meentheena CP","B15.13",0.640195420423814
"Dh_16.080",0.263582571274879,"1.11557820893385","0.998960010876042","0.016698080403826","0.649686269718534","Poondano","B15.20",1.00470688276542
"Dh_16.084",0.24825550187869,"1.05060188120264","0.941209565783686","0.0510716037187547","0.662507266413906","Poondano","B15.20",0.443519738188663
"Dh_16.087",0.243221476510067,"1.02964819913738","0.922485617453226","0.0724380660734349","0.678668270042916","Poondano","B15.20",0.259203333707128
"Dh_16.088",0.233369683751363,"0.983432361343908","0.881496793757195","0.11372636133534","0.684230703213727","Mt Florance Station","B15.10",-0.101511379869742
"Dh_16.092",0.231553528306949,"0.980385294581323","0.878194642371381","0.111401277818462","0.686996446915269","Mt Florance Station","B15.10",-0.16800831164534
"Dh_16.093",0.142085359265262,"0.601275375971263","0.539143371515833","0.473168578610109","0.807812898610527","Dolphin Island","B15.00",-3.4438065100602
"Dh_16.098",0.23062381852552,"0.975979741285392","0.873948841358968","0.126654404770222","0.692043109926744","Quoll knoll","B15.04",-0.202048816326225
"Dh_16.100",0.260799570700295,"1.10310703247484","0.987727149252542","0.0112223116507766","0.648153430386651","Quoll knoll","B15.04",0.902809768226712
"Dh_16.103",0.239978477266613,"1.01623622138147","0.910882998892511","0.0806738446048306","0.674071712370679","Quoll knoll","B15.04",0.140463773113042
"Dh_16.105",0.240021721422753,"1.01498144178639","0.909746026282204","0.100754765765922","0.684212210535622","Pannawonica Yarraloola","B15.09",0.142047119797038
"Dh_16.111",0.246442953020134,"1.04364342319372","0.934843182652857","0.0563804995082633","0.671151424229986","Pannawonica Yarraloola","B15.09",0.377154858377273
"Dh_16.112",0.234042553191489,"0.989472940164177","0.88673695640521","0.113943571076252","0.68729741251471","Pannawonica Yarraloola","B15.09",-0.0768748580392106
"Dh_16.114",0.260741138560687,"1.10312251143476","0.988317574058947","0.0328148837250844","0.660212376101546","Pannawonica Yarraloola","B15.09",0.900670326906879
"Dh_16.143",0.223062381852552,"0.944360918433008","0.845934929554748","0.160988663073659","0.701933329887869","Red Hill Chichester","B15.16",-0.478904159361079
"Dh_16.145",0.249059645351961,"1.05457517631017","0.944777076315308","0.0608802732216451","0.673063028782736","Red Hill Chichester","B15.16",0.47296274310565
"Dh_16.146",0.244695138329304,"1.03587029648071","0.928043368771484","0.0830924520162293","0.681244372106438","Red Hill Chichester","B15.16",0.313160163093902
