"sampleid","PHt","Hs_obs","Hs_exp","IR","HL","UTMX","UTMY","pop","Buffer.1km","Buffer.2km","Buffer.5km","Buffer.10km","Buffer.15km","PHt.HotCold","Hs_obs.HotCold","Hs_exp.HotCold","IR.HotCold","HL.HotCold"
"Dh_11.285",0.242415885273028,1.02515992915339,0.926544072372407,0.074107074456533,0.676504069898941,692293.8807,7739009.92,"Poondano","B1.79","B2.46","B5.38","B10.28","B15.20",0.21610946109802,0.22139055798931,0.221598169218246,-0.215447879250705,-0.15306672660353
"Dh_11.292",0.249034749034749,1.05332192702583,0.95217043708426,0.0374657391229164,0.658255977005511,690400.7366,7731801.15,"Poondano","B1.68","B2.46","B5.38","B10.28","B15.20",0.456211041120683,0.46216817406642,0.464323436262488,-0.564242530742244,-0.641123864441704
"Dh_11.307",0.254966887417219,1.07843871186612,0.974783720691941,0.0169248036773257,0.653199712540055,690783.9557,7737137.081,"Poondano","B1.79","B2.46","B5.38","B10.28","B15.20",0.671401419684055,0.676910026003174,0.678509699672794,-0.759774935738463,-0.776356953048556
"Dh_11.309",0.237227285280309,1.00253754055751,0.906383725439569,0.0809528180839479,0.681570081688377,690385.35,7731872.25,"Poondano","B1.68","B2.46","B5.38","B10.28","B15.20",0.0278911956666922,0.0279751326790034,0.0306453888297629,-0.150282165692936,-0.0175729394639013
"Dh_11.310",0.237161789066814,1.00262228004945,0.906295480894415,0.0756542018189168,0.676611052684529,690460.3049,7730692.78,"Poondano","B1.68","B2.46","B5.38","B10.28","B15.20",0.0255152977918036,0.0286996328706903,0.029809562873622,-0.200720529817001,-0.150205402275722
"Dh_11.335",0.251862068965517,1.06546832812838,0.963265157780866,0.0393532332019736,0.66225112188278,690483.5376,7737084.53,"Poondano","B1.79","B2.46","B5.38","B10.28","B15.20",0.558773052826216,0.566016683488063,0.569409314581365,-0.546275176837073,-0.534271110817746
"Dh_11.337",0.251241036955323,1.06207514801922,0.959608617354863,0.0286899379103624,0.662789854125686,690397.3472,7731995.6,"Poondano","B1.68","B2.46","B5.38","B10.28","B15.20",0.536244901128249,0.537005893085179,0.534775656575666,-0.647780766934294,-0.51986236585632
"Dh_11.338",0.2348401323043,0.993085578364229,0.8974681261721,0.0926216583267009,0.684224427012872,691179.8924,7737071.08,"Poondano","B1.79","B2.46","B5.38","B10.28","B15.20",-0.0587036069957108,-0.0528366383628647,-0.0538005026335283,-0.0392046345733914,0.0534192562396623
"Dh_11.401",0.24910443648388,1.05307312741866,0.951508983840221,0.0439060273737756,0.656529552779353,713234.3359,7657192.127,"Abydos Turner Yandee","B1.46","B2.28","B5.24","B10.16","B15.12",0.458738977522829,0.460041003381774,0.458058348837802,-0.502936410877595,-0.687298205587047
"Dh_11.402",0.229494614747307,0.971429420105819,0.87789876766318,0.0997649580540174,0.686868924890035,718678.7912,7658073.154,"Abydos Turner Yandee","B1.45","B2.28","B5.24","B10.16","B15.12",-0.252614111529072,-0.237991050435007,-0.239155617312166,0.0287935624410906,0.124148075546145
