Population,Geographic_Distance,Genetic_Distance
Cluster1,9.293,1832.330
Cluster1,12.402,1895.941
Cluster1,14.198,1924.997
Cluster1,10.988,1981.108
Cluster1,1.714,1908.693
Cluster1,14.901,1969.985
Cluster1,78.369,2033.769
Cluster1,70.939,2006.373
Cluster1,70.242,1973.765
Cluster1,69.454,2091.162
Cluster1,78.392,1990.399
Cluster1,70.961,1812.119
Cluster1,70.267,1962.929
Cluster1,69.476,1970.897
Cluster1,0.029,1942.587
Cluster1,85.410,2016.740
Cluster1,77.787,1897.325
Cluster1,77.538,1996.617
Cluster1,76.268,2039.104
Cluster1,7.480,2048.794
Cluster1,7.452,1778.079
Cluster1,78.439,1979.983
Cluster1,70.724,1850.365
Cluster1,70.818,1870.657
Cluster1,69.194,1953.144
Cluster1,3.939,1966.380
Cluster1,3.922,1897.569
Cluster1,7.149,1964.776
Cluster1,73.679,1977.521
Cluster1,66.039,1886.145
Cluster1,65.985,1998.505
Cluster1,64.523,2051.006
Cluster1,5.546,2021.696
Cluster1,5.557,2013.982
Cluster1,11.749,2142.188
Cluster1,4.837,1990.678
Cluster1,78.461,1993.474
Cluster1,71.025,1939.774
Cluster1,70.341,1993.508
Cluster1,69.540,1898.553
Cluster1,0.114,2078.243
Cluster1,0.085,1979.978
Cluster1,7.371,1967.960
Cluster1,3.874,1933.225
Cluster1,5.590,1987.087
Cluster1,78.021,2030.357
Cluster1,70.606,2035.283
Cluster1,69.873,1990.366
Cluster1,69.124,1965.061
Cluster1,0.396,2163.401
Cluster1,0.425,2054.902
Cluster1,7.873,2051.243
Cluster1,4.140,2119.733
Cluster1,5.356,2113.146
Cluster1,0.509,1917.142
Cluster1,73.733,2002.491
Cluster1,65.941,2023.896
Cluster1,66.326,2035.303
Cluster1,64.401,2099.675
Cluster1,6.867,2087.015
Cluster1,6.871,1976.101
Cluster1,12.018,2131.307
Cluster1,4.869,1896.347
Cluster1,2.043,1580.112
Cluster1,6.884,2106.402
Cluster1,6.769,2124.915
Cluster1,85.699,2194.519
Cluster1,78.056,2030.580
Cluster1,77.860,2076.752
Cluster1,76.534,2110.258
Cluster1,7.850,2118.292
Cluster1,7.822,2095.859
Cluster1,0.412,2095.890
Cluster1,7.377,2021.930
Cluster1,12.026,2178.671
Cluster1,7.740,1855.299
Cluster1,8.244,2190.642
Cluster1,12.240,2188.054
Cluster1,49.823,2046.100
Cluster1,47.060,1938.600
Cluster1,60.686,1995.977
Cluster1,47.016,2018.379
Cluster1,101.456,2025.069
Cluster1,101.469,1904.805
Cluster1,106.485,1998.011
Cluster1,99.601,1885.051
Cluster1,95.916,2129.914
Cluster1,101.504,2075.460
Cluster1,101.241,2233.969
Cluster1,94.910,2108.582
Cluster1,106.607,2036.943
Cluster1,9.090,2161.745
Cluster1,1.937,2108.878
Cluster1,15.680,2186.750
Cluster1,3.020,2034.740
Cluster1,72.457,2204.430
Cluster1,72.479,2195.165
Cluster1,79.254,2249.372
Cluster1,72.174,2125.412
Cluster1,67.512,2301.221
Cluster1,72.542,2194.821
Cluster1,72.128,2248.329
Cluster1,67.375,2179.943
Cluster1,79.519,2234.331
Cluster1,45.296,2112.055
Cluster1,8.112,1974.942
Cluster1,1.566,1910.733
Cluster1,12.756,1957.792
Cluster1,3.006,2017.305
Cluster1,71.311,2017.995
Cluster1,71.333,1852.731
Cluster1,78.218,2001.781
Cluster1,71.179,1896.977
Cluster1,66.469,2031.840
Cluster1,71.398,1927.386
Cluster1,70.973,2181.895
Cluster1,66.417,1996.509
Cluster1,78.493,2112.092
Cluster1,48.266,1947.100
Cluster1,2.974,2146.358
Cluster1,9.162,2045.335
Cluster1,1.732,1892.334
Cluster1,15.561,2054.216
Cluster1,2.808,2020.112
Cluster1,72.251,2045.410
Cluster1,72.273,1974.403
Cluster1,79.051,1994.227
Cluster1,71.972,1882.784
Cluster1,67.309,2083.038
Cluster1,72.336,1978.890
Cluster1,71.921,2032.567
Cluster1,67.174,2061.315
Cluster1,79.316,2076.912
Cluster1,45.454,1825.488
Cluster1,0.218,2073.246
Cluster1,2.830,1897.946
Cluster1,9.174,2073.521
Cluster1,1.753,1920.106
Cluster1,15.585,1964.397
Cluster1,2.819,1988.884
Cluster1,72.260,1989.574
Cluster1,72.281,1909.853
Cluster1,79.059,2052.516
Cluster1,71.980,1966.556
Cluster1,67.316,1927.954
Cluster1,72.345,1998.965
Cluster1,71.930,2031.474
Cluster1,67.181,1989.088
Cluster1,79.324,2058.671
Cluster1,45.430,1928.791
Cluster1,0.204,2135.907
Cluster1,2.854,1974.718
Cluster1,0.024,1903.648
Cluster1,49.593,1843.685
Cluster1,46.788,1739.269
Cluster1,60.431,1826.773
Cluster1,46.737,1861.048
Cluster1,101.119,1959.738
Cluster1,101.131,1791.473
Cluster1,106.149,1889.680
Cluster1,99.264,1720.720
Cluster1,95.579,1926.582
Cluster1,101.167,1897.129
Cluster1,100.904,1933.638
Cluster1,94.573,1826.463
Cluster1,106.271,1940.046
Cluster1,0.337,1652.955
Cluster1,45.028,2014.085
Cluster1,47.999,1803.881
Cluster1,45.186,1733.558
Cluster1,45.162,1811.460
Cluster1,45.225,2259.261
Cluster1,42.836,2277.544
Cluster1,56.281,2332.386
Cluster1,42.886,2263.122
Cluster1,99.602,2353.813
Cluster1,99.615,2309.452
Cluster1,104.868,2350.510
Cluster1,97.905,2331.615
Cluster1,94.079,2348.912
Cluster1,99.654,2265.360
Cluster1,99.372,2377.151
Cluster1,93.158,2330.020
Cluster1,105.007,2327.200
Cluster1,4.837,2195.772
Cluster1,41.033,2415.669
Cluster1,43.990,2202.929
Cluster1,41.199,2212.954
Cluster1,41.175,2152.535
Cluster1,4.699,2074.870
Cluster1,53.484,1960.570
Cluster1,51.206,1811.361
Cluster1,64.637,1952.447
Cluster1,51.243,1943.933
Cluster1,106.196,2044.624
Cluster1,106.208,1997.359
Cluster1,111.188,2059.341
Cluster1,104.318,1928.605
Cluster1,100.655,1984.859
Cluster1,106.244,1952.790
Cluster1,105.983,2111.523
Cluster1,99.637,2021.137
Cluster1,111.307,2050.218
Cluster1,4.777,2061.636
Cluster1,49.405,2157.868
Cluster1,52.362,1976.757
Cluster1,49.571,1953.301
Cluster1,49.547,2061.346
Cluster1,5.113,1920.380
Cluster1,8.372,2385.067
Cluster1,52.842,2054.896
Cluster1,50.346,1919.027
Cluster1,63.872,1947.773
Cluster1,50.343,2006.259
Cluster1,104.802,2042.700
Cluster1,104.814,1972.685
Cluster1,109.772,2064.891
Cluster1,102.910,1995.931
Cluster1,99.260,2083.794
Cluster1,104.849,2046.987
Cluster1,104.591,1977.849
Cluster1,98.234,2074.109
Cluster1,109.889,2064.657
Cluster1,3.503,1900.862
Cluster1,48.562,2256.527
Cluster1,51.526,1992.093
Cluster1,48.725,2009.733
Cluster1,48.700,1970.672
Cluster1,3.829,1777.836
Cluster1,7.619,2293.093
Cluster1,1.467,2068.332
Cluster1,55.726,2034.229
Cluster1,64.051,1929.020
Cluster1,53.045,1975.133
Cluster1,65.480,1975.798
Cluster1,114.791,1985.032
Cluster1,114.820,1992.224
Cluster1,122.244,1939.430
Cluster1,116.527,1916.470
Cluster1,111.855,1983.868
Cluster1,114.903,1929.879
Cluster1,114.396,1905.182
Cluster1,112.783,2163.795
Cluster1,122.626,2057.379
Cluster1,99.489,1960.669
Cluster1,64.497,2059.066
Cluster1,62.528,2025.605
Cluster1,64.515,1959.403
Cluster1,64.532,1954.746
Cluster1,99.360,1860.374
Cluster1,94.661,2280.309
Cluster1,101.792,1958.260
Cluster1,101.675,1917.336
Cluster1,11.103,1977.214
Cluster1,17.009,1890.798
Cluster1,23.354,1980.847
Cluster1,18.545,2097.577
Cluster1,87.939,1953.024
Cluster1,87.961,1949.002
Cluster1,94.795,2062.209
Cluster1,87.731,1974.249
Cluster1,83.048,1979.112
Cluster1,88.026,1926.658
Cluster1,87.604,2189.167
Cluster1,82.943,2004.515
Cluster1,95.064,2134.507
Cluster1,42.729,2000.180
Cluster1,15.598,2219.748
Cluster1,16.667,1966.410
Cluster1,15.793,2036.217
Cluster1,15.787,1943.989
Cluster1,42.549,1840.153
Cluster1,37.928,2307.016
Cluster1,45.805,2037.942
Cluster1,45.389,2014.060
Cluster1,57.899,1888.903
Cluster1,11.622,1990.249
Cluster1,17.015,1848.040
Cluster1,23.955,1991.126
Cluster1,18.506,1932.613
Cluster1,87.951,1971.911
Cluster1,87.972,1863.038
Cluster1,94.774,1971.245
Cluster1,87.698,1989.285
Cluster1,83.029,2026.147
Cluster1,88.037,1954.694
Cluster1,87.618,2096.202
Cluster1,82.900,1997.816
Cluster1,95.040,1988.007
Cluster1,41.730,1983.520
Cluster1,15.525,2049.881
Cluster1,16.765,1929.652
Cluster1,15.726,1921.861
Cluster1,15.719,1900.025
Cluster1,41.549,1870.189
Cluster1,36.930,2201.263
Cluster1,44.817,1931.280
Cluster1,44.395,1995.926
Cluster1,58.881,1955.939
Cluster1,1.004,1953.718
Cluster1,43.175,2062.798
Cluster1,34.988,1911.383
Cluster1,48.006,1982.648
Cluster1,33.715,2047.162
Cluster1,67.976,1977.852
Cluster1,67.986,1947.587
Cluster1,72.626,2012.794
Cluster1,65.867,1964.833
Cluster1,62.435,2095.696
Cluster1,68.016,1954.242
Cluster1,67.789,2127.751
Cluster1,61.283,2004.365
Cluster1,72.727,2066.948
Cluster1,34.165,1994.033
Cluster1,34.385,2133.408
Cluster1,36.546,1669.968
Cluster1,34.378,2000.758
Cluster1,34.360,1915.574
Cluster1,33.835,1822.362
Cluster1,33.291,2276.750
Cluster1,38.766,2025.164
Cluster1,37.324,2045.949
Cluster1,98.862,2039.425
Cluster1,44.117,2052.267
Cluster1,43.365,1913.303
Cluster1,45.263,1937.286
Cluster1,36.887,1859.871
Cluster1,49.617,1916.162
Cluster1,35.554,1890.649
Cluster1,66.418,2007.339
Cluster1,66.427,1953.075
Cluster1,70.888,1896.281
Cluster1,64.202,1825.321
Cluster1,60.888,1982.184
Cluster1,66.454,1913.730
Cluster1,66.243,2030.239
Cluster1,59.677,2012.852
Cluster1,70.978,2025.069
Cluster1,36.274,1945.556
Cluster1,36.380,2022.551
Cluster1,38.434,1876.483
Cluster1,36.362,1862.289
Cluster1,36.344,1873.062
Cluster1,35.947,1772.979
Cluster1,35.605,2237.300
Cluster1,40.811,1907.111
Cluster1,39.358,1919.437
Cluster1,100.876,1958.975
Cluster1,46.551,1984.754
Cluster1,45.816,1882.790
Cluster1,2.677,1981.093
Cluster1,37.851,2026.520
Cluster1,28.997,1906.105
Cluster1,40.998,1958.011
Cluster1,27.522,1995.883
Cluster1,61.475,2082.574
Cluster1,61.487,1974.309
Cluster1,66.633,1940.516
Cluster1,59.685,2086.555
Cluster1,55.937,1924.418
Cluster1,61.524,1947.964
Cluster1,61.258,2173.473
Cluster1,54.960,2062.087
Cluster1,66.770,2113.670
Cluster1,39.986,1932.791
Cluster1,28.782,2145.766
Cluster1,30.495,1940.717
Cluster1,28.729,1952.524
Cluster1,28.714,2000.296
Cluster1,39.648,1895.460
Cluster1,38.237,2264.148
Cluster1,44.734,2025.345
Cluster1,43.350,2077.197
Cluster1,92.995,1966.210
Cluster1,40.777,2014.989
Cluster1,40.165,1964.550
Cluster1,8.696,1939.573
Cluster1,9.215,1882.061
Cluster1,61.686,1790.117
Cluster1,65.665,1744.702
Cluster1,73.867,1831.994
Cluster1,66.747,1946.480
Cluster1,134.141,1948.171
Cluster1,134.159,1790.906
Cluster1,140.305,1913.112
Cluster1,133.163,1857.152
Cluster1,128.830,1709.015
Cluster1,134.212,1898.561
Cluster1,133.852,1926.070
Cluster1,128.296,1883.387
Cluster1,140.510,2004.383
Cluster1,43.188,1916.388
Cluster1,63.816,2045.748
Cluster1,65.920,1876.314
Cluster1,64.034,1890.991
Cluster1,64.018,1800.893
