"UTMX","UTMY"
692293.880656186,7739009.91970929
690400.736643163,7731801.14977513
713234.335927216,7657192.12704669
718678.791235727,7658073.15428973
688944.044879186,7609297.32113693
711559.746885469,7652983.2487675
686538.052893022,7566571.451745
717525.346097262,7660189.89505102
720494.308316627,7661339.795546
820825.847553536,7607422.5697988
844521.481577126,7709639.56357235
825014.786806469,7733091.70805524
817158.298936188,7742314.5612808
675264.702818798,7685859.38871433
676344.026826094,7681628.3277652
860563.212572024,7634983.57994057
689534.731957117,7737027.46278036
594244.603332384,7591823.38224024
595182.39071264,7592045.95992832
730800.971112737,7554785.18316677
405592.385329063,7584154.28447031
412092.761861252,7590795.63503777
398306.582257577,7594190.82657306
418610.166651174,7661434.48338261
422371.882438001,7667899.94938363
422489.586807394,7660751.43800311
420650.483272548,7656277.6589637
484005.163029546,7707192.84368961
451818.326215596,7565566.68768118
413164.998688827,7589182.03414687
594738.231711546,7624586.45184995
589319.443081803,7601213.05678222
446997.279768022,7565963.88193701
453942.178174721,7561288.2287483
352352.132862715,7567695.7422415
818552.452105178,7606551.75755741
524947.63027743,7640876.62367137
669823.460081105,7731730.63230111
672000.298980532,7729042.85236027
697396.84151289,7632451.48612244
682173.448698152,7680204.14403853
498480.940585702,7708043.33519776
721720.175520912,7749597.6386329
680490.228270119,7678909.30680779
729136.709956462,7783331.58132843
671567.844380993,7698940.64735309
671277.444905091,7658270.04070683
699435.233683454,7509971.92244463
714979.563899635,7500701.87637014
590515.913185794,7555966.46296882
680317.356654665,7561559.74617951
409914.909979962,7573926.55235933
410913.171148329,7573821.50149588
660788.808298696,7513499.43714397
446046.001924119,7599241.00037345
447372.001783859,7601566.99940067
438303.004040878,7603198.99985657
701430.10364985,7736733.28994432
712917.966514436,7648812.68658672
713310.393938394,7644665.61507826
676126.622129543,7729971.28091766
829495.015304217,7726371.08905534
837952.461030551,7724327.03923845
845047.229561793,7709558.00262456
721081.678486543,7622358.58073023
430784.99623158,7527847.22461736
392189.032217624,7596848.78173113
406826.031961402,7589595.57850155
411120.757070972,7595527.01923153
449360.829407081,7562919.35680906
424953.321003096,7546807.44874429
425080.850718463,7546979.86125836
599003.456849704,7657301.03854256
652217.829547485,7684285.05965747
719916.250988328,7755009.8016479
720563.783577603,7754735.87127733
719964.803621503,7754949.94493046
824482.778111884,7687668.52100811
664960.704340879,7690211.92006434
665129.251386784,7690705.47919887
716106.004078965,7649354.00032639
