Surface,obj.func_LL,k,AIC,AICc,DeltaAICc,R2m,R2c,LL,Equation,shape,max,Include,Notes
EucDistWater_Total,-1954.527197,4,3917.054393,3917.580709,0,0.539389936,0.843010747,-1954.527197,Inverse-Reverse Monomolecular,5.420107066,2216.388416,Y,NA
Clay_Total,-1973.704577,4,3955.409155,3955.935471,38.35476176,0.545080322,0.81369627,-1973.704577,Inverse-Reverse Monomolecular,10.01505806,36.90037443,N,"Went with silt because  difference is miniscule/insignificant and in previous run, silt was top ranked"
Silt_Total,-1973.704577,4,3955.409155,3955.935471,38.35476187,0.545080312,0.813696273,-1973.704577,Inverse-Reverse Monomolecular,10.01505806,36.90037443,Y,NA
Sand_Total,-1974.7327,4,3957.4654,3957.991716,40.41100674,0.543687624,0.811709069,-1974.7327,Reverse Monomolecular,11.72648567,35.86953991,N,NA
VRM_Total,-1978.29128,4,3964.58256,3965.108875,47.52816653,0.549712837,0.810194367,-1978.29128,Inverse-Reverse Monomolecular,8.547596842,7.092608199,Y,NA
CoarseFrags_Total,-1980.645205,4,3969.290409,3969.816725,52.23601608,0.512108904,0.789646245,-1980.645205,Monomolecular,1.242770776,1126.365813,N,NA
Spinifex_Total,-1986.741279,4,3981.482559,3982.008874,64.42816549,0.558117734,0.834875441,-1986.741279,Reverse Monomolecular,8.536801741,14.0233337,Y,NA
FireFreq_2000_2008_Total,-1993.600743,4,3995.201486,3995.727802,78.14709298,0.536385012,0.826950555,-1993.600743,Inverse Monomolecular,9.060981418,18.07791271,Y,NA
Soils_Total,-1994.37225,4,3996.7445,3997.270816,79.69010713,0.523864779,0.81815882,-1994.37225,Inverse-Reverse Monomolecular,8.547596841,7.092608205,N,NA
PersistForestCover_Total,-1997.232248,4,4002.464495,4002.990811,85.41010228,0.529726117,0.825818135,-1997.232248,Inverse-Reverse Monomolecular,1.746762478,1893.512645,Y,NA
Distance,-2003.873058,2,4011.746116,4011.899963,94.31925377,0.505272528,0.787163405,-2003.873058,NA,NA,NA,Y,NA
WeatheringIndex_Total,-1996.457008,4,4015.746116,4016.272432,98.69172341,0.505272528,0.787163405,-2003.873058,Distance,9,9,Y,NA
Null,-3701.470774,1,7404.941547,7404.99218,3487.411471,0,0.310622839,-3701.470774,NA,NA,NA,Y,NA
