"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","delta.AICc","weight"
"EucDistWater_Total.Silt_Total",-1907.96879963945,7,3829.9375992789,3831.47184585424,0.544426352431943,0.834518120416003,-1907.96879963945,0,0.973817077309361
"EucDistWater_Total.Silt_Total.WeatheringIndex_Total",-1908.35410765181,10,3836.7082153036,3839.85107244646,0.541708005752613,0.831977211082657,-1908.3541076518,8.37922659222113,0.0147554157407033
"EucDistWater_Total.Silt_Total.Spinifex_Total",-1908.68210785373,10,3837.36421570745,3840.50707285031,0.543577894742287,0.83300230145335,-1908.68210785372,9.03522699606765,0.0106292536936864
"EucDistWater_Total.Silt_Total.VRM_Total",-1911.8775624774,10,3843.75512495482,3846.89798209768,0.540716142359821,0.827860053962496,-1911.87756247741,15.4261362434445,0.000435245673192219
"EucDistWater_Total.PersistForestCover_Total.Silt_Total",-1912.22601064599,10,3844.45202129196,3847.59487843482,0.543962740302265,0.832295954513875,-1912.22601064598,16.1230325805823,0.000307188777508582
"EucDistWater_Total.FireFreq_2000_2008_Total.Silt_Total",-1914.09203508747,10,3848.18407017495,3851.32692731781,0.538443289409547,0.829782450116675,-1914.09203508747,19.8550814635687,4.75336569534107e-05
"EucDistWater_Total.PersistForestCover_Total.Silt_Total.VRM_Total",-1911.99656335496,13,3849.99312670991,3855.42596253081,0.549142790959293,0.832065772829641,-1911.99656335496,23.9541166765684,6.12219333913303e-06
"EucDistWater_Total.PersistForestCover_Total.Silt_Total.Spinifex_Total",-1913.46700520396,13,3852.93401040793,3858.36684622882,0.542145041408308,0.830556320479124,-1913.46700520396,26.8950003745863,1.40702644330009e-06
"EucDistWater_Total.FireFreq_2000_2008_Total.Silt_Total.WeatheringIndex_Total",-1914.14030314755,13,3854.2806062951,3859.713442116,0.5398347702599,0.829268347558918,-1914.14030314755,28.2415962617597,7.17616933197072e-07
"EucDistWater_Total.FireFreq_2000_2008_Total.PersistForestCover_Total.Silt_Total",-1917.74584393247,13,3861.49168786495,3866.92452368585,0.54360339364999,0.830812384058847,-1917.74584393248,35.4526778316085,1.9499622814328e-08
"EucDistWater_Total.Silt_Total.Spinifex_Total.WeatheringIndex_Total",-1917.79817507503,13,3861.59635018503,3867.02918600592,0.540953213374697,0.827117582013235,-1917.79817509251,35.557340151684,1.85054255579347e-08
"EucDistWater_Total.Silt_Total.Spinifex_Total.VRM_Total",-1922.4148814218,13,3870.82976284362,3876.26259866451,0.548360870724728,0.82388889632508,-1922.41488142181,44.7907528102733,1.82931709703639e-10
"EucDistWater_Total.PersistForestCover_Total.Silt_Total.WeatheringIndex_Total",-1923.11517119953,13,3872.23034239907,3877.66317821997,0.538367883684122,0.816669538068535,-1923.11517119954,46.19133236573,9.0814878693732e-11
"EucDistWater_Total.FireFreq_2000_2008_Total.Silt_Total.Spinifex_Total",-1924.5238980021,13,3875.04779600422,3880.48063182511,0.539486544085628,0.824142662524066,-1924.52389800211,49.0087859708756,2.22000897547377e-11
"EucDistWater_Total.FireFreq_2000_2008_Total.VRM_Total",-1929.89416392692,10,3879.78832785384,3882.9311849967,0.572034457768185,0.846978863273237,-1929.89416392692,51.4593391424582,6.51964382308335e-12
"EucDistWater_Total.Spinifex_Total.VRM_Total",-1930.7850843915,10,3881.57016878305,3884.71302592591,0.56463882777374,0.842780826451566,-1930.78508439152,53.2411800716695,2.6748659888832e-12
