"surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"EucDistWater_Total.Silt_Total",2146.57379253425,2148.72763868809,0.920582846253447,1.145,0.543708389435084,-1066.28689626712,0.401958659895151,956,95.6,7
"EucDistWater_Total.Silt_Total.WeatheringIndex_Total",2152.7886724851,2157.27846840346,0.0176350744917353,2.875,0.54102950644445,-1066.39433624255,0.402081662968617,0,0,10
"EucDistWater_Total.Silt_Total.Spinifex_Total",2153.18697974166,2157.67677566002,0.01115745548623,3.27,0.542885123323574,-1066.59348987083,0.402106281813511,0,0,10
"EucDistWater_Total.Silt_Total.VRM_Total",2156.11541793221,2160.60521385058,0.00779984816541652,4.632,0.540134167554106,-1068.05770896611,0.402695967979774,1,0.1,10
"EucDistWater_Total.PersistForestCover_Total.Silt_Total",2156.92626071656,2161.41605663493,0.00258205160070653,5.603,0.543286101299091,-1068.46313035828,0.402588092369349,0,0,10
"EucDistWater_Total.FireFreq_2000_2008_Total.Silt_Total",2158.93462494307,2163.42442086144,0.00389940702079197,6.272,0.537809213208284,-1069.46731247154,0.402840349035738,0,0,10
"EucDistWater_Total.PersistForestCover_Total.Silt_Total.VRM_Total",2162.33328609584,2170.2463295741,0.000484998173134222,8.594,0.54841924816798,-1068.16664304792,0.402655477270473,3,0.3,13
"EucDistWater_Total.PersistForestCover_Total.Silt_Total.Spinifex_Total",2164.14016731905,2172.05321079731,1.27367180477284e-05,9.452,0.541511208358705,-1069.07008365952,0.402792694683606,0,0,13
"EucDistWater_Total.FireFreq_2000_2008_Total.Silt_Total.WeatheringIndex_Total",2164.83112844912,2172.74417192738,1.55486785755136e-05,9.802,0.539223090504665,-1069.41556422456,0.402896744110891,0,0,13
"EucDistWater_Total.Silt_Total.Spinifex_Total.WeatheringIndex_Total",2168.43556854108,2176.34861201934,4.21173157348454e-06,12.473,0.540370617441066,-1071.21778427054,0.403472298138127,0,0,13
"EucDistWater_Total.FireFreq_2000_2008_Total.PersistForestCover_Total.Silt_Total",2168.72977133412,2176.64281481238,3.77333799662761e-06,12.923,0.542954852791536,-1071.36488566706,0.40333477126291,0,0,13
"EucDistWater_Total.Silt_Total.Spinifex_Total.VRM_Total",2172.66974165,2180.58278512826,5.06767496252259e-05,13.843,0.547811850567369,-1073.334870825,0.404331193353831,0,0,13
"EucDistWater_Total.FireFreq_2000_2008_Total.VRM_Total",2177.12208110728,2181.61187702565,0.0194874997978135,15.575,0.571196266260522,-1078.56104055364,0.404582949666493,24,2.4,10
"EucDistWater_Total.PersistForestCover_Total.Silt_Total.WeatheringIndex_Total",2172.8460459763,2180.75908945456,1.23095538422094e-05,15.743,0.537975166141569,-1073.42302298815,0.40458331139885,0,0,13
"EucDistWater_Total.Spinifex_Total.VRM_Total",2177.59416186534,2182.08395778371,0.00485297498233448,16.05,0.563511716747425,-1078.79708093267,0.404732907610106,3,0.3,10
"EucDistWater_Total.FireFreq_2000_2008_Total.Silt_Total.Spinifex_Total",2175.39796150141,2183.31100497967,3.3403685302761e-06,16.323,0.538919580215207,-1074.6989807507,0.404417630740737,0,0,13
"EucDistWater_Total.Spinifex_Total.VRM_Total.WeatheringIndex_Total",2180.61786826645,2188.53091174471,0.00308381898517595,18.953,0.569825265282222,-1077.30893413322,0.403963739324867,8,0.8,13
"EucDistWater_Total.PersistForestCover_Total.VRM_Total",2181.99190193607,2186.48169785444,0.00133334410803581,19.748,0.537317247154194,-1080.99595096804,0.40575588314159,2,0.2,10
"EucDistWater_Total.FireFreq_2000_2008_Total.VRM_Total.WeatheringIndex_Total",2182.2378405436,2190.15088402186,0.000162048362167117,20.116,0.56777973113155,-1078.1189202718,0.404577167692076,0,0,13
"EucDistWater_Total.FireFreq_2000_2008_Total.Silt_Total.VRM_Total",2183.83402438497,2191.74706786323,0.000103670644635206,22.415,0.574192573677827,-1078.91701219248,0.404664570852875,0,0,13
"EucDistWater_Total.VRM_Total",2186.05798532658,2188.21183148043,0.00130267396466174,24.447,0.548131975717948,-1086.02899266329,0.406413537060423,0,0,7
"EucDistWater_Total.VRM_Total.WeatheringIndex_Total",2189.5803980658,2194.07019398417,3.99710151478549e-05,29.255,0.540601386147235,-1084.7901990329,0.406529322323193,0,0,10
"EucDistWater_Total.FireFreq_2000_2008_Total.Spinifex_Total.VRM_Total",2189.95912885584,2197.8721723341,1.4334799504603e-05,29.322,0.577374831177144,-1081.97956442792,0.404830445014034,0,0,13
"FireFreq_2000_2008_Total.Spinifex_Total.VRM_Total",2192.27239281526,2196.76218873362,5.1565279727537e-05,31.389,0.581936618657608,-1086.13619640763,0.405970101663374,0,0,10
"EucDistWater_Total",2193.1109083705,2193.83818109777,0.00287215135192573,31.831,0.538701122405581,-1092.55545418525,0.40723531513214,2,0.2,4
"EucDistWater_Total.PersistForestCover_Total.VRM_Total.WeatheringIndex_Total",2193.09943375425,2201.01247723251,1.87197309832057e-06,32.702,0.545687647244577,-1083.54971687713,0.406121646492998,0,0,13
"EucDistWater_Total.PersistForestCover_Total.Spinifex_Total.VRM_Total",2193.61436609643,2201.52740957469,1.13487803610822e-06,33.065,0.546354590249754,-1083.80718304822,0.406807209759769,0,0,13
"EucDistWater_Total.FireFreq_2000_2008_Total.PersistForestCover_Total.VRM_Total",2194.25461000817,2202.16765348643,5.15279269610009e-07,34.218,0.548520085403496,-1084.12730500408,0.406167386802408,0,0,13
"EucDistWater_Total.Silt_Total.VRM_Total.WeatheringIndex_Total",2196.3717353986,2204.28477887686,1.00984916271369e-07,37.643,0.537777707597827,-1085.1858676993,0.407151722095697,0,0,13
"Spinifex_Total.VRM_Total",2196.96013815023,2199.11398430408,0.000118785497684434,37.858,0.597464753583473,-1091.48006907512,0.406818149096219,0,0,7
"Silt_Total.Spinifex_Total.VRM_Total",2197.15910419367,2201.64890011203,3.52916018841903e-05,37.863,0.589890132693093,-1088.57955209683,0.406234546100489,0,0,10
"EucDistWater_Total.PersistForestCover_Total",2199.10938296447,2201.26322911832,0.000769383125274131,39.648,0.532828918699456,-1092.55469148224,0.407607762687234,0,0,7
"EucDistWater_Total.Spinifex_Total",2199.35554968744,2201.50939584129,9.92698753465871e-05,39.947,0.53606326196478,-1092.67777484372,0.407447825201542,0,0,7
"EucDistWater_Total.FireFreq_2000_2008_Total",2199.76081453381,2201.91466068765,9.01337429292434e-05,41.465,0.536012619394155,-1092.8804072669,0.407495792878809,0,0,7
"Silt_Total.Spinifex_Total.WeatheringIndex_Total",2200.89341204988,2205.38320796824,7.2296817101674e-06,41.535,0.559174136705649,-1090.44670602494,0.407729040298406,0,0,10
"Spinifex_Total.VRM_Total.WeatheringIndex_Total",2198.98580076049,2203.47559667886,9.75492984662113e-05,42.098,0.598872050090605,-1089.49290038024,0.405984753414842,0,0,10
"FireFreq_2000_2008_Total.Silt_Total.Spinifex_Total.VRM_Total",2199.60203183847,2207.51507531673,5.65479661967587e-06,43.237,0.591720924438872,-1086.80101591923,0.405138825811052,0,0,13
"FireFreq_2000_2008_Total.Spinifex_Total.VRM_Total.WeatheringIndex_Total",2200.60498618279,2208.51802966105,4.58625493218241e-06,44.429,0.585722898028824,-1087.30249309139,0.405634009054829,0,0,13
"PersistForestCover_Total.Silt_Total.Spinifex_Total.VRM_Total",2200.80666751174,2208.71971099,1.0083985404318e-06,44.859,0.595533100432273,-1087.40333375587,0.405371093854542,0,0,13
"EucDistWater_Total.Spinifex_Total.WeatheringIndex_Total",2202.94516614146,2207.43496205983,2.3588161316955e-06,46.049,0.537880838281936,-1091.47258307073,0.407679214372617,0,0,10
"Silt_Total.WeatheringIndex_Total",2204.26285381728,2206.41669997113,6.09472528974637e-08,46.995,0.53450030769109,-1095.13142690864,0.410146734424301,0,0,7
"FireFreq_2000_2008_Total.PersistForestCover_Total.Spinifex_Total.VRM_Total",2202.31492205055,2210.22796552881,5.32649405091137e-06,47.881,0.597555307305902,-1088.15746102527,0.404850201818304,0,0,13
"EucDistWater_Total.PersistForestCover_Total.WeatheringIndex_Total",2204.13205050365,2208.62184642202,1.28893744481199e-06,48.892,0.537894742058268,-1092.06602525183,0.407768142064662,0,0,10
"PersistForestCover_Total.Spinifex_Total.VRM_Total.WeatheringIndex_Total",2203.36194124785,2211.27498472611,3.93471579449828e-07,49.093,0.586532882978297,-1088.68097062393,0.406021313117115,0,0,13
"Silt_Total.Spinifex_Total.VRM_Total.WeatheringIndex_Total",2204.50307035365,2212.41611383191,3.06125628931208e-09,49.958,0.583805256309684,-1089.25153517682,0.407060499661714,0,0,13
"FireFreq_2000_2008_Total.PersistForestCover_Total.VRM_Total",2206.33474833815,2210.82454425652,6.74359727803434e-07,50.17,0.573598278138864,-1093.16737416907,0.408507750922996,0,0,10
"EucDistWater_Total.PersistForestCover_Total.Spinifex_Total",2205.81552541522,2210.30532133359,1.85613674731778e-06,50.578,0.53403490952656,-1092.90776270761,0.407641147030816,0,0,10
"Silt_Total.Spinifex_Total",2207.25217286165,2209.40601901549,3.90935432857479e-07,51.438,0.575345749192313,-1096.62608643082,0.408543662463008,0,0,7
"FireFreq_2000_2008_Total.Silt_Total.VRM_Total",2207.38209166431,2211.87188758267,2.81207856004884e-08,52.107,0.554247475666387,-1093.69104583215,0.409089684118913,0,0,10
