"","Estimate","Std. Error","t value"
"Intercept",46.3886309833779,0.109289415190793,424.45675916917
"Distance",0.652779308358268,0.00836446997440261,78.0419214075653
"Intercept",46.3886309833878,0.12962500463486,357.867921502179
"EucDistWater_Total",0.771550064042683,0.00961072027446398,80.2801498752095
"Intercept",46.3886309833627,0.118318677626594,392.065157538036
"FireFreq_2000_2008_Total",0.715210626370783,0.00910009600111709,78.5937451959833
"Intercept",46.3886309833675,0.121787687845189,380.897542306038
"PersistForestCover_Total",0.727280917637858,0.00926244613912433,78.5193140898107
"Intercept",46.3886309833721,0.113988651878336,406.958326280446
"Silt_Total",0.727572998530673,0.00917989787437113,79.2571996429225
"Intercept",46.3886309833716,0.123307330838349,376.203350344071
"Spinifex_Total",0.782650123306471,0.00991108012170775,78.9671876017096
"Intercept",46.3886309833779,0.109289415190793,424.45675916917
"VRM_Total",0.652779308358268,0.00836446997440261,78.0419214075653
"Intercept",46.3886309833613,0.115696752571777,400.95015592233
"WeatheringIndex_Total",0.730396309629344,0.00931432848049102,78.4164216625136
