"Species","Long","Lat","BasisOfRecord","WAM.ID","Accuracy.m","DataProvider","Datum","Day","Month","Year","Database","SiteName","Collector","MethodOfCapture","ApproximateLocation","ReturnID","LicenceNo","Certainty","RecordID"
"Dasyurus hallucatus",120.076417,-21.616332,NA,"",100,"FAUNASURVEY","GDA94",21,7,2014,"NatureMap","McPhee Creek","MWH AUSTRALILA",NA,"Pilbara","SF009918-201503","SF009918","Certain","Record_0022"
"Dasyurus hallucatus",117.877088,-22.063426,NA,"",100,"FAUNASURVEY","GDA94",5,8,2016,"NatureMap","S_F_P_SMNQ-C2","ASTRID HEIDRICH, DAMIEN CANCILLA, CHRIS PARKER, JORDAN VOS, JARED NELSON",NA,"Solomon Mine","SF0101924-201703","SF010924","Certain","Record_0023"
"Dasyurus hallucatus",119.241051,-22.097409,NA,"",100,"FAUNASURVEY","GDA94",30,5,2015,"NatureMap","L09160","JOHN SCANLON",NA,"Roy Hill Rail","SF010337_201604","SF010337","Certain","Record_0024"
"Dasyurus hallucatus",116.171942,-21.723083,NA,"",100,"FAUNASURVEY","GDA94",3,5,2016,"NatureMap","MESA H","ASTRON",NA,"PANNAWONICA","SF010530-201608","SF010530","Certain","Record_0025"
"Dasyurus hallucatus",116.217312,-21.780978,NA,"",100,"FAUNASURVEY","GDA94",1,5,2016,"NatureMap","MESA H","ASTRON",NA,"PANNAWONICA","SF010530-201608","SF010530","Certain","Record_0026"
"Dasyurus hallucatus",119.055895,-22.543039,NA,"PIT tag - 982000364797788",100,"FAUNASURVEY","GDA94",18,8,2016,"NatureMap","KQMB1-E44","DAN KAMIEN",NA,"Koodaideri","SF010827-201612","SF010827","Certain","Record_0027"
"Dasyurus hallucatus",119.113968,-21.151396,NA,"",1000,"FAUNASURVEY","GDA94",8,6,2016,"NatureMap","Abydos Mine Site","MWH AUSTRALIA",NA,"Pilbara","SF010811-2016","SF010811","Certain","Record_0028"
"Dasyurus hallucatus",119.114153,-21.151538,NA,"",1000,"FAUNASURVEY","GDA94",9,6,2016,"NatureMap","Abydos Mine Site","MWH AUSTRALIA",NA,"Pilbara","SF010811-2016","SF010811","Certain","Record_0029"
"Dasyurus hallucatus",119.136581,-21.126539,NA,"",1000,"FAUNASURVEY","GDA94",2,6,2016,"NatureMap","Abydos Mine Site","MWH AUSTRALIA",NA,"Pilbara","SF010811-2016","SF010811","Certain","Record_0030"
"Dasyurus hallucatus",117.857356,-22.05858,NA,"",100,"FAUNASURVEY","GDA94",2,8,2015,"NatureMap","SM_NQ_C1","ECOSCAPE AUSTRALIA",NA,"Solomon Mine","SF010422_201603","SF010422","Certain","Record_0032"
