"Species","Long","Lat","BasisOfRecord","WAM.ID","Accuracy.m","DataProvider","Datum","Day","Month","Year","Database","SiteName","Collector","MethodOfCapture","ApproximateLocation","ReturnID","LicenceNo","Certainty","RecordID"
"Dasyurus hallucatus",119.1,-20.3,"PreservedSpecimen","M62857",10000,"OZCAM (Online Zoological Collections of Australian Museums) Provider","EPSG:4326",NA,1,2013,"ALA",NA,NA,NA,NA,NA,NA,NA,"Record_0001"
"Dasyurus hallucatus",118.7,-20.8,"PreservedSpecimen","M63361",10000,"OZCAM (Online Zoological Collections of Australian Museums) Provider","EPSG:4326",NA,1,2012,"ALA",NA,NA,NA,NA,NA,NA,NA,"Record_0002"
"Dasyurus hallucatus",116.1,-22.2,"PreservedSpecimen","M63423",10000,"OZCAM (Online Zoological Collections of Australian Museums) Provider","EPSG:4326",NA,1,2015,"ALA",NA,NA,NA,NA,NA,NA,NA,"Record_0003"
"Dasyurus hallucatus",119.1,-20.3,"PreservedSpecimen","M62854",10000,"OZCAM (Online Zoological Collections of Australian Museums) Provider","EPSG:4326",NA,4,2013,"ALA",NA,NA,NA,NA,NA,NA,NA,"Record_0004"
"Dasyurus hallucatus",119.1,-20.3,"PreservedSpecimen","M62856",10000,"OZCAM (Online Zoological Collections of Australian Museums) Provider","EPSG:4326",NA,4,2012,"ALA",NA,NA,NA,NA,NA,NA,NA,"Record_0005"
"Dasyurus hallucatus",118.6,-20.9,"PreservedSpecimen","M63485",10000,"OZCAM (Online Zoological Collections of Australian Museums) Provider","EPSG:4326",NA,8,2014,"ALA",NA,NA,NA,NA,NA,NA,NA,"Record_0006"
"Dasyurus hallucatus",118.6,-20.9,"PreservedSpecimen","M63490",10000,"OZCAM (Online Zoological Collections of Australian Museums) Provider","EPSG:4326",NA,8,2014,"ALA",NA,NA,NA,NA,NA,NA,NA,"Record_0007"
"Dasyurus hallucatus",118.6,-20.9,"PreservedSpecimen","M63488",10000,"OZCAM (Online Zoological Collections of Australian Museums) Provider","EPSG:4326",NA,8,2014,"ALA",NA,NA,NA,NA,NA,NA,NA,"Record_0008"
"Dasyurus hallucatus",117.8,-20.9,"HumanObservation","42379664",40434,"","EPSG:4326",NA,8,2019,"ALA",NA,NA,NA,NA,NA,NA,NA,"Record_0009"
"Dasyurus hallucatus",120.1,-20.5,"PreservedSpecimen","M57515",10000,"OZCAM (Online Zoological Collections of Australian Museums) Provider","EPSG:4326",NA,8,2006,"ALA",NA,NA,NA,NA,NA,NA,NA,"Record_0010"
"Dasyurus hallucatus",118.6,-20.9,"PreservedSpecimen","M63487",10000,"OZCAM (Online Zoological Collections of Australian Museums) Provider","EPSG:4326",NA,8,2014,"ALA",NA,NA,NA,NA,NA,NA,NA,"Record_0011"
"Dasyurus hallucatus",119,-21.6,"PreservedSpecimen","M6142",20000,"OZCAM (Online Zoological Collections of Australian Museums) Provider","EPSG:4326",NA,NA,NA,"ALA",NA,NA,NA,NA,NA,NA,NA,"Record_0012"
"Dasyurus hallucatus",118.7,-21.2,"HumanObservation","",10000,"Citizen Science - ALA Website","EPSG:4326",NA,9,2018,"ALA",NA,NA,NA,NA,NA,NA,NA,"Record_0013"
"Dasyurus hallucatus",120.3,-20.6,"PreservedSpecimen","M62833",5,"OZCAM (Online Zoological Collections of Australian Museums) Provider","EPSG:4326",NA,2,2014,"ALA",NA,NA,NA,NA,NA,NA,NA,"Record_0014"
"Dasyurus hallucatus",119.2,-20.3,"HumanObservation","5119f0193dffa5e263544381",10100,"Citizen Science - ALA Website","EPSG:4326",NA,2,2013,"ALA",NA,NA,NA,NA,NA,NA,NA,"Record_0015"
