"x","y"
829504.651214011,7463508.22228844
500504.651214013,7537508.22228844
634504.651214012,7730508.22228844
852504.651214011,7419508.22228844
763504.651214011,7460508.22228844
724504.651214012,7629508.22228844
682504.651214012,7472508.22228844
359504.651214013,7583508.22228844
383504.651214013,7608508.22228844
989504.65121401,7433508.22228844
709504.651214012,7684508.22228844
553504.651214012,7604508.22228844
725504.651214012,7751508.22228844
658504.651214012,7512508.22228844
798504.651214011,7477508.22228844
587504.651214012,7622508.22228844
648504.651214012,7575508.22228844
645504.651214012,7405508.22228844
693504.651214012,7719508.22228844
651504.651214012,7526508.22228844
700504.651214012,7561508.22228844
584504.651214012,7541508.22228844
737504.651214012,7703508.22228844
835504.651214011,7744508.22228844
637504.651214012,7534508.22228844
534504.651214013,7463508.22228844
830504.651214011,7532508.22228844
882504.651214011,7543508.22228844
894504.651214011,7473508.22228844
788504.651214011,7785508.22228844
650504.651214012,7624508.22228844
706504.651214012,7531508.22228844
651504.651214012,7504508.22228844
318504.651214014,7602508.22228844
914504.651214011,7600508.22228844
692504.651214012,7696508.22228844
727504.651214012,7627508.22228844
282504.651214014,7515508.22228844
641504.651214012,7453508.22228844
339504.651214013,7555508.22228844
908504.651214011,7637508.22228844
872504.651214011,7756508.22228844
433504.651214013,7542508.22228844
827504.651214011,7547508.22228844
765504.651214011,7472508.22228844
482504.651214013,7480508.22228844
853504.651214011,7640508.22228844
341504.651214013,7581508.22228844
973504.65121401,7583508.22228844
758504.651214011,7560508.22228844
506504.651214013,7463508.22228844
731504.651214012,7732508.22228844
465504.651214013,7645508.22228844
718504.651214012,7660508.22228844
704504.651214012,7735508.22228844
762504.651214011,7421508.22228844
437504.651214013,7669508.22228844
451504.651214013,7559508.22228844
477504.651214013,7566508.22228844
591504.651214012,7514508.22228844
399504.651214013,7576508.22228844
885504.651214011,7693508.22228844
320504.651214014,7488508.22228844
608504.651214012,7713508.22228844
697504.651214012,7635508.22228844
609504.651214012,7548508.22228844
716504.651214012,7547508.22228844
552504.651214012,7416508.22228844
673504.651214012,7465508.22228844
739504.651214012,7627508.22228844
496504.651214013,7580508.22228844
763504.651214011,7746508.22228844
491504.651214013,7618508.22228844
542504.651214012,7686508.22228844
624504.651214012,7726508.22228844
807504.651214011,7521508.22228844
533504.651214013,7649508.22228844
833504.651214011,7615508.22228844
815504.651214011,7449508.22228844
715504.651214012,7434508.22228844
540504.651214013,7543508.22228844
443504.651214013,7571508.22228844
733504.651214012,7649508.22228844
331504.651214013,7562508.22228844
614504.651214012,7743508.22228844
798504.651214011,7438508.22228844
310504.651214014,7562508.22228844
452504.651214013,7572508.22228844
591504.651214012,7582508.22228844
956504.651214011,7641508.22228844
658504.651214012,7487508.22228844
729504.651214012,7579508.22228844
907504.651214011,7411508.22228844
791504.651214011,7393508.22228844
470504.651214013,7487508.22228844
789504.651214011,7450508.22228844
754504.651214011,7441508.22228844
581504.651214012,7568508.22228844
624504.651214012,7677508.22228844
774504.651214011,7464508.22228844
738504.651214012,7612508.22228844
355504.651214013,7540508.22228844
472504.651214013,7704508.22228844
493504.651214013,7623508.22228844
388504.651214013,7663508.22228844
734504.651214012,7661508.22228844
530504.651214013,7650508.22228844
610504.651214012,7570508.22228844
850504.651214011,7760508.22228844
978504.65121401,7627508.22228844
584504.651214012,7522508.22228844
737504.651214012,7592508.22228844
518504.651214013,7483508.22228844
536504.651214013,7565508.22228844
773504.651214011,7762508.22228844
647504.651214012,7734508.22228844
829504.651214011,7378508.22228844
459504.651214013,7513508.22228844
730504.651214012,7522508.22228844
877504.651214011,7490508.22228844
912504.651214011,7606508.22228844
648504.651214012,7400508.22228844
823504.651214011,7439508.22228844
688504.651214012,7730508.22228844
483504.651214013,7702508.22228844
595504.651214012,7471508.22228844
638504.651214012,7488508.22228844
838504.651214011,7705508.22228844
761504.651214011,7519508.22228844
717504.651214012,7748508.22228844
507504.651214013,7543508.22228844
846504.651214011,7424508.22228844
828504.651214011,7505508.22228844
810504.651214011,7616508.22228844
915504.651214011,7748508.22228844
677504.651214012,7622508.22228844
692504.651214012,7666508.22228844
618504.651214012,7517508.22228844
709504.651214012,7418508.22228844
406504.651214013,7470508.22228844
670504.651214012,7512508.22228844
814504.651214011,7480508.22228844
802504.651214011,7643508.22228844
341504.651214013,7470508.22228844
702504.651214012,7430508.22228844
782504.651214011,7517508.22228844
797504.651214011,7698508.22228844
