"UTMX","UTMY"
818509.702197803,7606486.5425512
590496.005012143,7559892.4465573
731207.425666042,7554689.59014593
414360.028652844,7597594.29674137
419084.979116303,7591210.30269804
711426.044337504,7505609.57813046
719516.965877834,7659635.10458198
721902.965988838,7662356.11307357
588463.004801614,7560440.45494932
700673.020007946,7582378.40606571
712347.951542812,7504501.61131227
712182.029474041,7502769.64482606
664912.401899172,7690483.86903558
594446.031410738,7559119.45703733
590447.006830622,7555949.47991264
665122.578647591,7690809.50760286
595866.025829946,7560624.37808001
507610.002843111,7691335.01117674
690663.038021814,7731629.81049188
438302.95134368,7603207.32557735
442085.0344476,7575829.42787354
711691.047372344,7506054.63849483
588837.032465549,7563819.43175167
590571.959765643,7560862.40432822
718657.037438691,7658156.06268165
720648.974239853,7661061.08220168
1005768.01380521,7595915.36874388
1004195.46159587,7596702.95499484
592542.014975028,7554672.40749618
524974.007296196,7640901.4892463
447035.012057456,7565977.40219512
453444.038500063,7599835.33557533
446759.001092693,7598308.29625782
414917.024133626,7596345.31971891
439644.045944141,7603501.31883456
424100.001467996,7596828.30572216
445754.040259813,7600493.31072037
716248.006607149,7649271.13647995
708519.983429168,7655793.1401119
452093.117142905,7565181.43834417
448924.721715813,7567029.43305572
413015.093219794,7588539.40574665
405938.601927521,7606767.20947112
712303.035487009,7650329.14273984
713318.991647337,7647884.17094298
846219.102553239,7719432.4703975
814322.776048659,7609065.27812726
671422.983841914,7655512.11917131
738803.97206213,7618501.20305225
444523.960927803,7571288.34671771
718261.02460992,7655641.08954514
684904.03742735,7736866.81483419
685456.022024199,7737181.81057708
423059.967651997,7557375.48466396
688002.014522684,7566729.39132901
682083.025351887,7562619.47429946
680782.950733012,7561540.45632437
690422.026524501,7730571.88853947
405467.549242399,7599363.882434
679448.019619191,7560249.45709943
688029.967160698,7566726.40065513
688422.009255093,7567176.43496302
515422.032684745,7717591.84468891
671973.038400512,7654760.11167402
671985.041677309,7729132.79453435
712249.989686968,7507114.59604444
671367.0153847,7658065.04983375
710940.952208461,7503694.58753498
709593.019749878,7504248.59630793
710769.00122463,7508454.61805063
712156.957459334,7505712.59321101
713216.998816862,7501058.68318624
710344.032888309,7506915.60944499
671306.953703695,7660579.0404498
672016.961601629,7654780.13573092
412775.962502174,7590189.34136352
689647.319280987,7737007.7269823
700935.190527634,7736863.83055343
692519.30648028,7738959.12413266
445620.952168694,7574314.4354117
690876.330007242,7740444.15564228
693999.473949996,7739670.30743649
692952.001175017,7634875.22440203
721050.021798137,7661160.03945566
671944.813443172,7664706.2750588
691667.981992691,7737114.84827523
689617.959218608,7737060.86693352
690923.96267217,7737145.87128744
697552.046289578,7632721.13591426
713191.049879491,7646078.09951559
692292.956148643,7739016.80932439
692458.986625902,7737864.86021535
715934.971131924,7649287.11099116
716101.015990834,7648060.14500425
683412.95095432,7736240.82355806
685059.957712204,7736974.85021396
810701.931499144,7566811.73072043
711845.959663385,7503925.5864267
712043.049718041,7503588.57445515
651869.037524347,7684141.99560828
739219.034458395,7617664.18190894
417795.966704857,7694256.01792854
422978.038237474,7557336.45030022
679163.038091542,7675363.02683404
676392.023064407,7681692.96757288
590490.006897404,7554997.43007478
676236.954252454,7506143.57764356
677948.31953407,7660689.50364443
677439.980607468,7674631.05693213
713172.710501397,7644653.78702498
695643.000401194,7512440.56697503
410216.036939983,7573677.42082096
429325.852395528,7522110.18279466
413942.533763434,7572428.08432596
413879.75448721,7571838.50198044
410180.450310442,7574744.23617103
712630.04671434,7457377.83810668
681036.042517494,7561823.47677198
674683.03265344,7697491.99323794
674475.978968035,7686673.94752707
698460.589663239,7739703.31950968
409486.995063527,7573498.36733283
686538.052893022,7566571.451745
716544.956736629,7659040.05441756
727705.03632025,7663813.03399761
421396.959981263,7553883.50466079
444093.994775678,7575271.34770206
673027.032778237,7654857.11821876
596059.977082266,7439014.82175245
673381.025075606,7658496.04549333
671908.998496456,7656173.14811871
674418.982450845,7659026.07718584
711677.962366549,7650642.10272479
449361.009832341,7562927.43780042
701429.973656152,7736740.85647932
409799.326207237,7574092.38432831
721862.95619227,7663183.08018699
717521.991928076,7660249.07929092
589716.949826671,7556927.49505355
445032.048304555,7601237.32208448
447387.968316759,7601578.27979417
429762.976952994,7603090.31472648
423734.045230748,7596859.33058266
744072.957333931,7532843.47276288
745742.973808854,7532344.55967439
426729.042503218,7558378.42875531
679439.999951713,7673286.07225047
712000.046765238,7502337.62606527
740824.012033806,7608887.26528204
428832.034282898,7557094.39224872
709408.990493702,7401869.02322337
412979.210170879,7588579.6137346
713511.960620141,7506084.60565521
411865.010985393,7595406.26848239
700563.697846403,7737017.45491822
743799.051303955,7532956.55964616
527328.150841932,7638803.02010693
820107.716700211,7605334.86473179
711463.043676441,7504881.67447782
430857.982026578,7521767.51798789
712924.005765643,7648734.08827763
788763.98276772,7554881.48726262
711748.97023617,7501847.6325842
652217.988131347,7684291.0364534
675917.002636472,7680873.01274733
888271.345965883,7647137.05924122
525063.616993901,7640844.02071456
414201.475865365,7571561.84665637
474195.040852726,7698691.99923232
445461.987712303,7599561.3339102
423515.998722202,7548589.47462897
578018.95357397,7546556.45843007
421690.174964244,7556370.34392019
421690.161447069,7555255.73465635
414095.394037315,7572328.51256839
672706.99681154,7659715.08743365
411615.021844456,7574362.42785797
819892.850815166,7608973.34027103
713201.964196726,7657211.04099734
591099.02633583,7559321.40790751
713065.031440598,7648521.17165713
838090.197425031,7583507.60855181
671609.957235448,7659563.12388887
672202.010747067,7660620.09363533
694166.745919842,7739961.49766172
453942.051030267,7561296.41944126
451798.994653667,7565779.37452149
403041.04895172,7597891.28089212
592991.004689481,7563253.37717859
690988.912512127,7741236.33493516
672103.03207172,7656248.07110996
430987.482310366,7527933.79635055
446997.044705777,7565972.40432246
453907.008918549,7562763.40190326
451178.026091931,7566220.44626002
551439.06697414,7575164.60887444
442614.031931885,7563521.41712245
429096.006727682,7600925.28001437
454330.013697072,7595724.25600586
713790.996337705,7507681.633583
712542.046312098,7647781.08062383
704312.94746058,7636008.14244689
802439.987657296,7563627.39457683
426291.958899135,7600692.24959555
713181.977209593,7650218.0747299
421546.015853351,7557722.45268003
672722.313034167,7661662.96184074
716343.010460339,7504461.57208519
713211.9898216,7503362.58929132
422683.495658563,7557001.36437928
709876.961377501,7503307.65211486
712041.957230701,7506900.58851448
710560.021287812,7505849.64697029
888880.539242944,7651308.94914657
720569.97586584,7662652.07907149
718913.971577825,7660692.03817319
416117.049497762,7596658.2772625
472352.027652294,7698129.95131437
676434.947707712,7678454.02873978
691380.966421414,7638985.20020027
411726.004345466,7591272.36718231
816483.031790688,7602655.57889776
415251.952732505,7596473.28819567
589457.955614103,7553913.49994949
591020.958684601,7555462.40334791
