id,pop,lat,lon,Sex,Year,IBRA_SubRegion,Original_id
Dh_11.285,Poondano,-20.43762213,118.8431876,M,2011,Chichester,11-285
Dh_11.292,Poondano,-20.50292001,118.8258183,F,2011,Chichester,11-292
Dh_11.307,Poondano,-20.45468951,118.8289203,F,2011,Chichester,11-307
Dh_11.309,Poondano,-20.50227942,118.8256632,F,2011,Chichester,11-309
Dh_11.310,Poondano,-20.5129243,118.826508,M,2011,Chichester,11-310
Dh_11.334,Poondano,-20.51290226,118.8224628,M,2011,Chichester,11-334
Dh_11.335,Poondano,-20.45519438,118.8260471,M,2011,Chichester,11-335
Dh_11.337,Poondano,-20.50116416,118.825765,F,2011,Chichester,11-337
Dh_11.338,Poondano,-20.45524565,118.8327215,M,2011,Chichester,11-338
Dh_11.401,Abydos Turner Yandee,-21.1742,119.0538,M,2011,Chichester,11-401
Dh_11.402,Abydos Turner Yandee,-21.1656,119.1061,M,2011,Chichester,11-402
Dh_11.404,Turner River,-21.6094,118.8253,M,2011,Chichester,11-404
Dh_11.405,Abydos Turner Yandee,-21.2124,119.0382,M,2011,Chichester,11-405
Dh_12.066,Tom Price East,-21.99548,118.8069,M,2011,Chichester,12-066
Dh_12.071,Abydos Turner Yandee,-21.1653444,119.1096944,M,2011,Chichester,12-071
Dh_12.072,Abydos Turner Yandee,-21.1653444,119.1096944,M,2011,Chichester,12-072
Dh_12.073,Abydos Turner Yandee,-21.1653444,119.1096944,F,2011,Chichester,12-073
Dh_12.074,Abydos Turner Yandee,-21.1653444,119.1096944,M,2011,Chichester,12-074
Dh_12.075,Abydos Turner Yandee,-21.1653444,119.1096944,M,2011,Chichester,12-075
Dh_12.076,Abydos Turner Yandee,-21.1653444,119.1096944,M,2011,Chichester,12-076
Dh_12.078,Abydos Turner Yandee,-21.1653444,119.1096944,M,2011,Chichester,12-078
Dh_12.079,Abydos Turner Yandee,-21.1544694,119.0852972,F,2011,Chichester,12-079
Dh_12.080,Abydos Turner Yandee,-21.1544694,119.0852972,M,2011,Chichester,12-080
Dh_12.081,Abydos Turner Yandee,-21.146625,119.0947278,F,2011,Chichester,12-081
Dh_12.082,Abydos Turner Yandee,-21.146625,119.0947278,F,2011,Chichester,12-082
Dh_12.083,Abydos Turner Yandee,-21.1358861,119.1231556,F,2011,Chichester,12-083
Dh_12.084,Abydos Turner Yandee,-21.1358861,119.1231556,F,2011,Chichester,12-084
Dh_12.325,Abydos Turner Yandee,-21.1127222,119.1127222,M,2012,Chichester,12-325
Dh_12.331,McPhee Creek Mine,-21.6074722,120.0985833,M,2012,Chichester,12-331
Dh_12.339,McPhee Creek Mine,-21.5964444,120.1111389,F,2012,Chichester,12-339
