"id","pop","lat","lon","Sex","Year","IBRA_SubRegion","Original_id","UTMX","UTMY","CoordLocation","Buffer_1km","Buffer_2km","Buffer_5km","Buffer_10km","Buffer_15km","Buffer_20km"
"Dh_11.285","Poondano",-20.43762213,118.8431876,"M",2011,"Chichester","11-285",692293.880656186,7739009.91970929,1,79,46,38,28,20,9
"Dh_11.292","Poondano",-20.50292001,118.8258183,"F",2011,"Chichester","11-292",690400.736643163,7731801.14977513,2,68,46,38,28,20,9
"Dh_11.307","Poondano",-20.45468951,118.8289203,"F",2011,"Chichester","11-307",690783.955655872,7737137.0805454,3,79,46,38,28,20,9
"Dh_11.309","Poondano",-20.50227942,118.8256632,"F",2011,"Chichester","11-309",690385.350031973,7731872.24950653,4,68,46,38,28,20,9
"Dh_11.310","Poondano",-20.5129243,118.826508,"M",2011,"Chichester","11-310",690460.304908031,7730692.78003134,5,68,46,38,28,20,9
"Dh_11.335","Poondano",-20.45519438,118.8260471,"M",2011,"Chichester","11-335",690483.537552322,7737084.52994338,6,79,46,38,28,20,9
"Dh_11.337","Poondano",-20.50116416,118.825765,"F",2011,"Chichester","11-337",690397.347205857,7731995.60031336,7,68,46,38,28,20,9
"Dh_11.338","Poondano",-20.45524565,118.8327215,"M",2011,"Chichester","11-338",691179.892430783,7737071.08037131,8,79,46,38,28,20,9
"Dh_11.401","Abydos Turner Yandee",-21.1742,119.0538,"M",2011,"Chichester","11-401",713234.335927216,7657192.12704669,9,46,28,24,16,12,9
"Dh_11.402","Abydos Turner Yandee",-21.1656,119.1061,"M",2011,"Chichester","11-402",718678.791235727,7658073.15428973,10,45,28,24,16,12,9
"Dh_11.404","Turner River",-21.6094,118.8253,"M",2011,"Chichester","11-404",688944.044879186,7609297.32113693,11,31,22,18,18,12,9
"Dh_11.405","Abydos Turner Yandee",-21.2124,119.0382,"M",2011,"Chichester","11-405",711559.746885469,7652983.2487675,12,40,28,24,16,12,9
"Dh_12.066","Tom Price East",-21.99548,118.8069,"M",2011,"Chichester","12-066",686538.052893022,7566571.451745,13,13,11,13,9,8,7
"Dh_12.071","Abydos Turner Yandee",-21.1653444,119.1096944,"M",2011,"Chichester","12-071",719052.503843314,7658096.49559519,14,45,28,24,16,12,9
"Dh_12.072","Abydos Turner Yandee",-21.1653444,119.1096944,"M",2011,"Chichester","12-072",719052.503843314,7658096.49559519,14,45,28,24,16,12,9
"Dh_12.073","Abydos Turner Yandee",-21.1653444,119.1096944,"F",2011,"Chichester","12-073",719052.503843314,7658096.49559519,14,45,28,24,16,12,9
"Dh_12.074","Abydos Turner Yandee",-21.1653444,119.1096944,"M",2011,"Chichester","12-074",719052.503843314,7658096.49559519,14,45,28,24,16,12,9
"Dh_12.075","Abydos Turner Yandee",-21.1653444,119.1096944,"M",2011,"Chichester","12-075",719052.503843314,7658096.49559519,14,45,28,24,16,12,9
"Dh_12.076","Abydos Turner Yandee",-21.1653444,119.1096944,"M",2011,"Chichester","12-076",719052.503843314,7658096.49559519,14,45,28,24,16,12,9
"Dh_12.078","Abydos Turner Yandee",-21.1653444,119.1096944,"M",2011,"Chichester","12-078",719052.503843314,7658096.49559519,14,45,28,24,16,12,9
"Dh_12.079","Abydos Turner Yandee",-21.1544694,119.0852972,"F",2011,"Chichester","12-079",716534.298325404,7659334.18743035,15,45,28,24,16,12,9
"Dh_12.080","Abydos Turner Yandee",-21.1544694,119.0852972,"M",2011,"Chichester","12-080",716534.298325404,7659334.18743035,15,45,28,24,16,12,9
"Dh_12.082","Abydos Turner Yandee",-21.146625,119.0947278,"F",2011,"Chichester","12-082",717525.346097262,7660189.89505102,16,45,28,24,16,12,9
"Dh_12.084","Abydos Turner Yandee",-21.1358861,119.1231556,"F",2011,"Chichester","12-084",720494.308316627,7661339.795546,17,52,28,24,16,12,9
