"ind1.id","ind2.id","wang","Ind.1.sex","Ind.1.pop","Ind.1.year","Ind.2.sex","Ind.2.pop","Ind.2.year"
"Dh_14.001","Dh_14.002",0.1376,"M","Dolphin Island",2012,"M","Dolphin Island",2012
"Dh_14.001","Dh_14.003",0.1006,"M","Dolphin Island",2012,"F","Dolphin Island",2012
"Dh_14.001","Dh_14.004",-0.1329,"M","Dolphin Island",2012,"M","Dolphin Island",2012
"Dh_14.001","Dh_14.005",-0.2608,"M","Dolphin Island",2012,"M","Dolphin Island",2012
"Dh_14.001","Dh_14.006",0.0093,"M","Dolphin Island",2012,"F","Dolphin Island",2012
"Dh_14.001","Dh_14.007",0.0111,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.001","Dh_14.008",-0.1033,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.001","Dh_14.009",-0.068,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.001","Dh_14.010",-0.0623,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.001","Dh_14.011",-0.0842,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.001","Dh_14.012",-0.0681,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.001","Dh_14.013",0.012,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.001","Dh_16.093",-0.0689,"M","Dolphin Island",2012,"M","Dolphin Island",2015
"Dh_14.001","Dh_16.311",-0.0358,"M","Dolphin Island",2012,"M","Dolphin Island",2014
"Dh_14.001","Dh_16.774",-0.0117,"M","Dolphin Island",2012,NA,"Dolphin Island",2015
"Dh_14.002","Dh_14.003",0.0112,"M","Dolphin Island",2012,"F","Dolphin Island",2012
"Dh_14.002","Dh_14.004",-0.0616,"M","Dolphin Island",2012,"M","Dolphin Island",2012
"Dh_14.002","Dh_14.005",-0.2708,"M","Dolphin Island",2012,"M","Dolphin Island",2012
"Dh_14.002","Dh_14.006",0.1028,"M","Dolphin Island",2012,"F","Dolphin Island",2012
"Dh_14.002","Dh_14.007",-0.04,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.002","Dh_14.008",-0.1557,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.002","Dh_14.009",-0.0807,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.002","Dh_14.010",-0.0426,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.002","Dh_14.011",-0.0534,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.002","Dh_14.012",-0.1195,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.002","Dh_14.013",0.0495,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.002","Dh_16.093",-0.0309,"M","Dolphin Island",2012,"M","Dolphin Island",2015
"Dh_14.002","Dh_16.311",-0.0521,"M","Dolphin Island",2012,"M","Dolphin Island",2014
"Dh_14.002","Dh_16.774",-0.0218,"M","Dolphin Island",2012,NA,"Dolphin Island",2015
"Dh_14.003","Dh_14.004",-0.0875,"F","Dolphin Island",2012,"M","Dolphin Island",2012
"Dh_14.003","Dh_14.005",-0.2353,"F","Dolphin Island",2012,"M","Dolphin Island",2012
"Dh_14.003","Dh_14.006",-0.0147,"F","Dolphin Island",2012,"F","Dolphin Island",2012
"Dh_14.003","Dh_14.007",0.0555,"F","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.003","Dh_14.008",-0.0481,"F","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.003","Dh_14.009",-0.1008,"F","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.003","Dh_14.010",-0.0499,"F","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.003","Dh_14.011",-0.0045,"F","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.003","Dh_14.012",-0.1281,"F","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.003","Dh_14.013",0.0647,"F","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.003","Dh_16.093",-0.0515,"F","Dolphin Island",2012,"M","Dolphin Island",2015
"Dh_14.003","Dh_16.311",-0.0196,"F","Dolphin Island",2012,"M","Dolphin Island",2014
"Dh_14.003","Dh_16.774",-0.0518,"F","Dolphin Island",2012,NA,"Dolphin Island",2015
"Dh_14.004","Dh_14.005",-0.2064,"M","Dolphin Island",2012,"M","Dolphin Island",2012
"Dh_14.004","Dh_14.006",-0.0057,"M","Dolphin Island",2012,"F","Dolphin Island",2012
"Dh_14.004","Dh_14.007",-0.167,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.004","Dh_14.008",-0.1013,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.004","Dh_14.009",-0.0824,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.004","Dh_14.010",-0.1998,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.004","Dh_14.011",-0.1038,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.004","Dh_14.012",-0.1182,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.004","Dh_14.013",-0.1254,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.004","Dh_16.093",-0.0084,"M","Dolphin Island",2012,"M","Dolphin Island",2015
"Dh_14.004","Dh_16.311",-0.1237,"M","Dolphin Island",2012,"M","Dolphin Island",2014
"Dh_14.004","Dh_16.774",-0.0358,"M","Dolphin Island",2012,NA,"Dolphin Island",2015
"Dh_14.005","Dh_14.006",-0.2005,"M","Dolphin Island",2012,"F","Dolphin Island",2012
"Dh_14.005","Dh_14.007",-0.279,"M","Dolphin Island",2012,"M","Dolphin Island",2013
