"ind1.id","ind2.id","wang","Ind.1.sex","Ind.1.pop","Ind.1.year","Ind.2.sex","Ind.2.pop","Ind.2.year"
"Dh_11.285","Dh_11.292",-0.0332,"M","Poondano",2011,"F","Poondano",2011
"Dh_11.285","Dh_11.307",-0.0049,"M","Poondano",2011,"F","Poondano",2011
"Dh_11.285","Dh_11.309",-0.0378,"M","Poondano",2011,"F","Poondano",2011
"Dh_11.285","Dh_11.310",-0.0372,"M","Poondano",2011,"M","Poondano",2011
"Dh_11.285","Dh_11.334",-0.048,"M","Poondano",2011,"M","Poondano",2011
"Dh_11.285","Dh_11.335",-0.0163,"M","Poondano",2011,"M","Poondano",2011
"Dh_11.285","Dh_11.337",-0.0097,"M","Poondano",2011,"F","Poondano",2011
"Dh_11.285","Dh_11.338",-0.0665,"M","Poondano",2011,"M","Poondano",2011
"Dh_11.285","Dh_11.401",-0.0501,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_11.402",-0.0927,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_11.404",-0.0753,"M","Poondano",2011,"M","Turner River",2011
"Dh_11.285","Dh_11.405",-0.0224,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.066",-0.1146,"M","Poondano",2011,"M","Tom Price East",2011
"Dh_11.285","Dh_12.071",-0.0785,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.072",-0.0336,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.073",-0.1055,"M","Poondano",2011,"F","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.074",-0.1035,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.075",-0.0118,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.076",-0.0542,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.078",-0.1371,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.079",-0.0312,"M","Poondano",2011,"F","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.080",-0.0571,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.081",-0.0651,"M","Poondano",2011,"F","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.082",-0.1046,"M","Poondano",2011,"F","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.083",-0.1178,"M","Poondano",2011,"F","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.084",-0.0939,"M","Poondano",2011,"F","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.325",-0.0554,"M","Poondano",2011,"M","Abydos Turner Yandee",2012
"Dh_11.285","Dh_12.331",-0.0683,"M","Poondano",2011,"M","McPhee Creek Mine",2012
"Dh_11.285","Dh_12.339",-0.0641,"M","Poondano",2011,"F","McPhee Creek Mine",2012
"Dh_11.285","Dh_12.385",-0.0529,"M","Poondano",2011,"M","Callawa",2012
"Dh_11.285","Dh_12.387",-0.0734,"M","Poondano",2011,"M","Callawa",2012
"Dh_11.285","Dh_12.390",-0.0826,"M","Poondano",2011,"M","Callawa",2012
"Dh_11.285","Dh_12.391",-0.13,"M","Poondano",2011,"M","Callawa",2012
"Dh_11.285","Dh_12.393",-0.0716,"M","Poondano",2011,"M","Callawa",2012
"Dh_11.285","Dh_12.394",-0.0518,"M","Poondano",2011,"M","Cattle Nimingarra Shay",2012
"Dh_11.285","Dh_12.395",-0.1121,"M","Poondano",2011,"F","Cattle Nimingarra Shay",2012
"Dh_11.285","Dh_12.396",-0.0486,"M","Poondano",2011,"F","Nimingarra",2012
"Dh_11.285","Dh_12.397",-0.0937,"M","Poondano",2011,"M","Nimingarra",2012
"Dh_11.285","Dh_12.399",-0.0999,"M","Poondano",2011,"M","Nimingarra",2012
"Dh_11.285","Dh_12.400",-0.0855,"M","Poondano",2011,"M","Nimingarra",2012
