"ind1.id","ind2.id","wang","Ind.1.sex","Ind.1.pop","Ind.1.year","Ind.2.sex","Ind.2.pop","Ind.2.year"
"Dh_11.285","Dh_11.292",-0.0328,"M","Poondano",2011,"F","Poondano",2011
"Dh_11.285","Dh_11.307",-0.0044,"M","Poondano",2011,"F","Poondano",2011
"Dh_11.285","Dh_11.309",-0.0372,"M","Poondano",2011,"F","Poondano",2011
"Dh_11.285","Dh_11.310",-0.0367,"M","Poondano",2011,"M","Poondano",2011
"Dh_11.285","Dh_11.335",-0.0159,"M","Poondano",2011,"M","Poondano",2011
"Dh_11.285","Dh_11.337",-0.0092,"M","Poondano",2011,"F","Poondano",2011
"Dh_11.285","Dh_11.338",-0.0663,"M","Poondano",2011,"M","Poondano",2011
"Dh_11.285","Dh_11.401",-0.0496,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_11.402",-0.0924,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_11.404",-0.0749,"M","Poondano",2011,"M","Turner River",2011
"Dh_11.285","Dh_11.405",-0.0218,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.066",-0.114,"M","Poondano",2011,"M","Tom Price East",2011
"Dh_11.285","Dh_12.071",-0.0782,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.072",-0.0332,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.073",-0.105,"M","Poondano",2011,"F","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.074",-0.1031,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.075",-0.0114,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.076",-0.0538,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.078",-0.1367,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.079",-0.0309,"M","Poondano",2011,"F","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.080",-0.0567,"M","Poondano",2011,"M","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.082",-0.1038,"M","Poondano",2011,"F","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.084",-0.0932,"M","Poondano",2011,"F","Abydos Turner Yandee",2011
"Dh_11.285","Dh_12.325",-0.0548,"M","Poondano",2011,"M","Abydos Turner Yandee",2012
"Dh_11.285","Dh_12.331",-0.068,"M","Poondano",2011,"M","McPhee Creek Mine",2012
"Dh_11.285","Dh_12.339",-0.0638,"M","Poondano",2011,"F","McPhee Creek Mine",2012
"Dh_11.285","Dh_12.385",-0.0526,"M","Poondano",2011,"M","Callawa",2012
"Dh_11.285","Dh_12.387",-0.073,"M","Poondano",2011,"M","Callawa",2012
"Dh_11.285","Dh_12.390",-0.0825,"M","Poondano",2011,"M","Callawa",2012
"Dh_11.285","Dh_12.391",-0.1296,"M","Poondano",2011,"M","Callawa",2012
"Dh_11.285","Dh_12.393",-0.0711,"M","Poondano",2011,"M","Callawa",2012
"Dh_11.285","Dh_12.394",-0.0513,"M","Poondano",2011,"M","Cattle Nimingarra Shay",2012
"Dh_11.285","Dh_12.395",-0.1117,"M","Poondano",2011,"F","Cattle Nimingarra Shay",2012
"Dh_11.285","Dh_12.396",-0.0482,"M","Poondano",2011,"F","Nimingarra",2012
"Dh_11.285","Dh_12.397",-0.0933,"M","Poondano",2011,"M","Nimingarra",2012
"Dh_11.285","Dh_12.399",-0.0996,"M","Poondano",2011,"M","Nimingarra",2012
