Devil7.0.SCAFFOLD,Devil7.1.SCAFFOLD,Chromosome,LENGTH,CHROMOSOME POSITION,GENOME POSITION
GL834412.1,Chr1_supercontig_000000000,1,2180112,2180112,2180112
GL834413.1,Chr1_supercontig_000000001,1,373546,2553658,2553658
GL834414.1,Chr1_supercontig_000000002,1,1075293,3628951,3628951
GL834415.1,Chr1_supercontig_000000003,1,174856,3803807,3803807
GL834416.1,Chr1_supercontig_000000004,1,817733,4621540,4621540
GL834417.1,Chr1_supercontig_000000005,1,3669695,8291235,8291235
GL834418.1,Chr1_supercontig_000000006,1,1117890,9409125,9409125
GL834419.1,Chr1_supercontig_000000007,1,2046010,11455135,11455135
GL834420.1,Chr1_supercontig_000000008,1,614705,12069840,12069840
GL834421.1,Chr1_supercontig_000000009,1,250361,12320201,12320201
GL834422.1,Chr1_supercontig_000000010,1,1131293,13451494,13451494
GL834423.1,Chr1_supercontig_000000011,1,3334039,16785533,16785533
GL834424.1,Chr1_supercontig_000000012,1,2139355,18924888,18924888
GL834425.1,Chr1_supercontig_000000013,1,594981,19519869,19519869
GL834426.1,Chr1_supercontig_000000014,1,623052,20142921,20142921
GL834427.1,Chr1_supercontig_000000015,1,2105342,22248263,22248263
GL834428.1,Chr1_supercontig_000000016,1,1221480,23469743,23469743
GL834429.1,Chr1_supercontig_000000017,1,1061372,24531115,24531115
GL834430.1,Chr1_supercontig_000000018,1,481395,25012510,25012510
GL834431.1,Chr1_supercontig_000000019,1,279951,25292461,25292461
GL834432.1,Chr1_supercontig_000000020,1,335932,25628393,25628393
GL834433.1,Chr1_supercontig_000000021,1,184405,25812798,25812798
GL834434.1,Chr1_supercontig_000000022,1,687882,26500680,26500680
GL834435.1,Chr1_supercontig_000000023,1,188029,26688709,26688709
GL834436.1,Chr1_supercontig_000000024,1,3540533,30229242,30229242
GL834437.1,Chr1_supercontig_000000025,1,330155,30559397,30559397
GL834438.1,Chr1_supercontig_000000026,1,3752149,34311546,34311546
GL834439.1,Chr1_supercontig_000000027,1,445838,34757384,34757384
GL834440.1,Chr1_supercontig_000000028,1,1230044,35987428,35987428
GL834441.1,Chr1_supercontig_000000029,1,1606988,37594416,37594416
GL834442.1,Chr1_supercontig_000000030,1,664195,38258611,38258611
GL834443.1,Chr1_supercontig_000000031,1,410707,38669318,38669318
GL834444.1,Chr1_supercontig_000000032,1,642016,39311334,39311334
GL834445.1,Chr1_supercontig_000000033,1,3605697,42917031,42917031
GL834446.1,Chr1_supercontig_000000034,1,2665210,45582241,45582241
GL834447.1,Chr1_supercontig_000000035,1,1500658,47082899,47082899
GL834448.1,Chr1_supercontig_000000036,1,820059,47902958,47902958
GL834449.1,Chr1_supercontig_000000037,1,461401,48364359,48364359
GL834450.1,Chr1_supercontig_000000038,1,2182101,50546460,50546460
GL834451.1,Chr1_supercontig_000000039,1,4562494,55108954,55108954
GL834452.1,Chr1_supercontig_000000040,1,4406369,59515323,59515323
GL834453.1,Chr1_supercontig_000000041,1,4688437,64203760,64203760
GL834454.1,Chr1_supercontig_000000042,1,1659283,65863043,65863043
GL834455.1,Chr1_supercontig_000000043,1,725661,66588704,66588704
GL834456.1,Chr1_supercontig_000000044,1,41089,66629793,66629793
